Temp(0to1),time(0to1),B/A(0to1),T,t,B/A,mz189,mz278,mz375,mz410,mz430,mz494,mz524,Yield 494/430
0.4,0.9,0,72,55.4,12.195,0,9448220,1567715,390238400,187339600,1539282000,148274840,0.89149933
0.4,1,0,72,60,12.195,0,9585700,1509480,384996000,214624000,1514960000,139097600,0.875910045
0.5,0,0,85,14,12.195,0,10798000,1816900,316920000,342000000,1523000000,142250000,0.816621984
0.5,0.1,0,85,18.6,12.195,0,10675270,1929103,345740000,264439500,1563493000,158821450,0.8553341
0.5,0.2,0,85,23.2,12.195,0,10577920,2022192,370876000,198427000,1596342000,172528900,0.889441482
0.5,0.3,0,85,27.8,12.195,0,10505950,2096167,392328000,143962500,1621547000,183372350,0.918458383
0.5,0.4,0,85,32.4,12.195,0,10459360,2151028,410096000,101046000,1639108000,191351800,0.941932725
0.5,0.5,0,85,37,12.195,0,10438150,2186775,424180000,69677500,1649025000,196467250,0.959459243
0.5,0.6,0,85,41.6,12.195,0,10442320,2203408,434580000,49857000,1651298000,198718700,0.970692265
0.5,0.7,0,85,46.2,12.195,0,10471870,2200927,441296000,41584500,1645927000,198106150,0.975357501
0.5,0.8,0,85,50.8,12.195,0,10526800,2179332,444328000,44860000,1632912000,194629600,0.97326216
0.5,0.9,0,85,55.4,12.195,0,10607110,2138623,443676000,59683500,1612253000,188289050,0.964302771
0.5,1,0,85,60,12.195,0,10712800,2078800,439340000,86055000,1583950000,179084500,0.948470214
0.6,0,0,98,14,12.195,0,12307000,2429700,347640000,282040000,1587200000,185430000,0.849115148
0.6,0.1,0,98,18.6,12.195,0,12152480,2540315,377366400,203566600,1623712000,201974140,0.888595751
0.6,0.2,0,98,23.2,12.195,0,12023340,2631816,403408800,136641200,1652580000,215654280,0.923630907
0.6,0.3,0,98,27.8,12.195,0,11919580,2704203,425767200,81263800,1673804000,226470420,0.953697629
0.6,0.4,0,98,32.4,12.195,0,11841200,2757476,444441600,37434400,1687384000,234422560,0.978296614
0.6,0.5,0,98,37,12.195,0,11788200,2791635,459432000,5153000,1693320000,239510700,0.996966098
0.6,0.6,0,98,41.6,12.195,0,11760580,2806680,470738400,-15580400,1691612000,241734840,1.009296006
0.6,0.7,0,98,46.2,12.195,0,11758340,2802611,478360800,-24765800,1682260000,241094980,1.014941711
0.6,0.8,0,98,50.8,12.195,0,11781480,2779428,482299200,-22403200,1665264000,237591120,1.0136367
0.6,0.9,0,98,55.4,12.195,0,11830000,2737131,482553600,-8492600,1640624000,231223260,1.00520338
0.6,1,0,98,60,12.195,0,11903900,2675720,479124000,16966000,1608340000,221991400,0.98956135
0.7,0,0,111,14,12.195,0,13880000,3070100,363800000,281560000,1606800000,231530000,0.850897075
0.7,0.1,0,111,18.6,12.195,0,13693690,3179127,394432800,202173700,1639331000,248046830,0.89021277
0.7,0.2,0,111,23.2,12.195,0,13532760,3269040,421381600,134335400,1664218000,261699660,0.925309196
0.7,0.3,0,111,27.8,12.195,0,13397210,3339839,444646400,78045100,1681461000,272488490,0.955643746
0.7,0.4,0,111,32.4,12.195,0,13287040,3391524,464227200,33302800,1691060000,280413320,0.980686895
0.7,0.5,0,111,37,12.195,0,13202250,3424095,480124000,108500,1693015000,285474150,0.999935917
0.7,0.6,0,111,41.6,12.195,0,13142840,3437552,492336800,-21537800,1687326000,287670980,1.012929495
0.7,0.7,0,111,46.2,12.195,0,13108810,3431895,500865600,-31636100,1673993000,287003810,1.019262622
0.7,0.8,0,111,50.8,12.195,0,13100160,3407124,505710400,-30186400,1653016000,283472640,1.01860109
0.7,0.9,0,111,55.4,12.195,0,13116890,3363239,506871200,-17188700,1624395000,277077470,1.010694769
0.7,1,0,111,60,12.195,0,13159000,3300240,504348000,7357000,1588130000,267818300,0.995388869
0.8,0,0,124,14,12.195,0,15517000,3738100,365400000,340560000,1581800000,280550000,0.822842756
0.8,0.1,0,124,18.6,12.195,0,15298900,3845539,396939200,260260800,1610350000,297039520,0.860868546
0.8,0.2,0,124,23.2,12.195,0,15106180,3933864,424794400,191509600,1631256000,310665040,0.894934598
0.8,0.3,0,124,27.8,12.195,0,14938840,4003075,448965600,134306400,1644518000,321426560,0.9244971
0.8,0.4,0,124,32.4,12.195,0,14796880,4053172,469452800,88651200,1650136000,329324080,0.949015498
0.8,0.5,0,124,37,12.195,0,14680300,4084155,486256000,54544000,1648110000,334357600,0.967965306
0.8,0.6,0,124,41.6,12.195,0,14589100,4096024,499375200,31984800,1638440000,336527120,0.980852296
0.8,0.7,0,124,46.2,12.195,0,14523280,4088779,508810400,20973600,1621126000,335832640,0.987227571
0.8,0.8,0,124,50.8,12.195,0,14482840,4062420,514561600,21510400,1596168000,332274160,0.986702919
0.8,0.9,0,124,55.4,12.195,0,14467780,4016947,516628800,33595200,1563566000,325851680,0.97896568
0.8,1,0,124,60,12.195,0,14478100,3952360,515012000,57228000,1523320000,316565200,0.963792305
0.9,0,0,137,14,12.195,0,17218000,4433700,352440000,459040000,1512200000,332490000,0.767131349
0.9,0.1,0,137,18.6,12.195,0,16968110,4539551,384885600,377827900,1536769000,348952210,0.802659296
0.9,0.2,0,137,23.2,12.195,0,16743600,4626288,413647200,308163800,1553694000,362550420,0.834485856
0.9,0.3,0,137,27.8,12.195,0,16544470,4693911,438724800,250047700,1562975000,373284630,0.862082422
0.9,0.4,0,137,32.4,12.195,0,16370720,4742420,460118400,203479600,1564612000,381154840,0.884915691
0.9,0.5,0,137,37,12.195,0,16222350,4771815,477828000,168459500,1558605000,386161050,0.902459057
0.9,0.6,0,137,41.6,12.195,0,16099360,4782096,491853600,144987400,1544954000,388303260,0.914205664
0.9,0.7,0,137,46.2,12.195,0,16001750,4773263,502195200,133063300,1523659000,387581470,0.919682798
0.9,0.8,0,137,50.8,12.195,0,15929520,4745316,508852800,132687200,1494720000,383995680,0.918467118
0.9,0.9,0,137,55.4,12.195,0,15882670,4698255,511826400,143859100,1458137000,377545890,0.910200093
0.9,1,0,137,60,12.195,0,15861200,4632080,511116000,166579000,1413910000,368232100,0.894602873
1,0,0,150,14,12.195,0,18983000,5156900,324920000,637000000,1398000000,387350000,0.686977887
1,0.1,0,150,18.6,12.195,0,18701320,5261163,358272000,554875000,1418588000,403784900,0.71883182
1,0.2,0,150,23.2,12.195,0,18445020,5346312,387940000,484298000,1431532000,417355800,0.747212435
1,0.3,0,150,27.8,12.195,0,18214100,5412347,413924000,425269000,1436832000,428062700,0.771618725
1,0.4,0,150,32.4,12.195,0,18008560,5459268,436224000,377788000,1434488000,435905600,0.791539479
1,0.5,0,150,37,12.195,0,17828400,5487075,454840000,341855000,1424500000,440884500,0.806463027
1,0.6,0,150,41.6,12.195,0,17673620,5495768,469772000,317470000,1406868000,442999400,0.815888764
1,0.7,0,150,46.2,12.195,0,17544220,5485347,481020000,304633000,1381592000,442250300,0.819340242
1,0.8,0,150,50.8,12.195,0,17440200,5455812,488584000,303344000,1348672000,438637200,0.816379502
1,0.9,0,150,55.4,12.195,0,17361560,5407163,492464000,313603000,1308108000,432160100,0.806622142
1,1,0,150,60,12.195,0,17308300,5339400,492660000,335410000,1259900000,422819000,0.789752462
0,0,0.1,20,14,14.634,0,4539500,-822632.7,-40298000,1480159000,542249000,-16920000,0.268120478
0,0.1,0.1,20,18.6,14.634,0,4588090,-698318.7,-16088160,1405097000,606135000,-193810,0.301374978
0,0.2,0.1,20,23.2,14.634,0,4662060,-593118.7,4437680,1341583000,662377000,13668380,0.330534043
0,0.3,0.1,20,27.8,14.634,0,4761410,-507032.7,21279520,1289617000,710975000,24666570,0.355382307
0,0.4,0.1,20,32.4,14.634,0,4886140,-440060.7,34437360,1249199000,751929000,32800760,0.375752576
0,0.5,0.1,20,37,14.634,0,5036250,-392202.7,43911200,1220329000,785239000,38070950,0.391529482
0,0.6,0.1,20,41.6,14.634,0,5211740,-363458.7,49701040,1203007000,810905000,40477140,0.402651655
0,0.7,0.1,20,46.2,14.634,0,5412610,-353828.7,51806880,1197233000,828927000,40019330,0.409112311
0,0.8,0.1,20,50.8,14.634,0,5638860,-363312.7,50228720,1203007000,839305000,36697520,0.410958267
0,0.9,0.1,20,55.4,14.634,0,5890490,-391910.7,44966560,1220329000,842039000,30511710,0.408287464
0,1,0.1,20,60,14.634,0,6167500,-439622.7,36020400,1249199000,837129000,21461900,0.401245154
0.1,0,0.1,33,14,14.634,0,5717250,-359912.7,63505500,1116847000,827002000,12059300,0.425445598
0.1,0.1,0.1,33,18.6,14.634,0,5732630,-237321.9,88564200,1041375400,886641000,28770140,0.459872126
0.1,0.2,0.1,33,23.2,14.634,0,5773390,-133845.1,109938900,977451800,938636000,42616980,0.48987108
0.1,0.3,0.1,33,27.8,14.634,0,5839530,-49482.3,127629600,925076200,982987000,53599820,0.515175284
0.1,0.4,0.1,33,32.4,14.634,0,5931050,15766.5,141636300,884248600,1019694000,61718660,0.535569717
0.1,0.5,0.1,33,37,14.634,0,6047950,61901.3,151959000,854969000,1048757000,66973500,0.55089703
0.1,0.6,0.1,33,41.6,14.634,0,6190230,88922.1,158597700,837237400,1070176000,69364340,0.561061383
0.1,0.7,0.1,33,46.2,14.634,0,6357890,96828.9,161552400,831053800,1083951000,68891180,0.566030435
0.1,0.8,0.1,33,50.8,14.634,0,6550930,85621.7,160823100,836418200,1090082000,65554020,0.565835394
0.1,0.9,0.1,33,55.4,14.634,0,6769350,55300.5,156409800,853330600,1088569000,59352860,0.560569146
0.1,1,0.1,33,60,14.634,0,7013150,5865.3,148312500,881791000,1079412000,50287700,0.550382597
0.2,0,0.1,46,14,14.634,0,6959000,130407.3,152749000,813015000,1067155000,43958600,0.567584314
0.2,0.1,0.1,46,18.6,14.634,0,6941170,251274.9,178656560,737133800,1122547000,60654090,0.603623482
0.2,0.2,0.1,46,23.2,14.634,0,6948720,353028.5,200880120,672800600,1170295000,74485580,0.634961637
0.2,0.3,0.1,46,27.8,14.634,0,6981650,435668.1,219419680,620015400,1210399000,85453070,0.661270475
0.2,0.4,0.1,46,32.4,14.634,0,7039960,499193.7,234275240,578778200,1242859000,93556560,0.682275812
0.2,0.5,0.1,46,37,14.634,0,7123650,543605.3,245446800,549089000,1267675000,98796050,0.697765367
0.2,0.6,0.1,46,41.6,14.634,0,7232720,568902.9,252934360,530947800,1284847000,101171540,0.707594823
0.2,0.7,0.1,46,46.2,14.634,0,7367170,575086.5,256737920,524354600,1294375000,100683030,0.711691831
0.2,0.8,0.1,46,50.8,14.634,0,7527000,562156.1,256857480,529309400,1296259000,97330520,0.710057755
0.2,0.9,0.1,46,55.4,14.634,0,7712210,530111.7,253293040,545812200,1290499000,91114010,0.702767047
0.2,1,0.1,46,60,14.634,0,7922800,478953.3,246044600,573863000,1277095000,82033500,0.689964332
0.3,0,0.1,59,14,14.634,0,8264750,648327.3,227432500,568663000,1262708000,78777900,0.689487821
0.3,0.1,0.1,59,18.6,14.634,0,8213710,767471.7,254188920,492372200,1313853000,95458040,0.727402652
0.3,0.2,0.1,59,23.2,14.634,0,8188050,867502.1,277261340,427629400,1357354000,109274180,0.760429481
0.3,0.3,0.1,59,27.8,14.634,0,8187770,948418.5,296649760,374434600,1393211000,120226320,0.788173263
0.3,0.4,0.1,59,32.4,14.634,0,8212870,1010220.9,312354180,332787800,1421424000,128314460,0.810292121
0.3,0.5,0.1,59,37,14.634,0,8263350,1052909.3,324374600,302689000,1441993000,133538600,0.826507639
0.3,0.6,0.1,59,41.6,14.634,0,8339210,1076483.7,332711020,284138200,1454918000,135898740,0.836613561
0.3,0.7,0.1,59,46.2,14.634,0,8440450,1080944.1,337363440,277135400,1460199000,135394880,0.840482408
0.3,0.8,0.1,59,50.8,14.634,0,8567070,1066290.5,338331860,281680600,1457836000,132027020,0.838069611
0.3,0.9,0.1,59,55.4,14.634,0,8719070,1032522.9,335616280,297773800,1447829000,125795160,0.829414916
0.3,1,0.1,59,60,14.634,0,8896450,979641.3,329216700,325415000,1430178000,116699300,0.814640979
0.4,0,0.1,72,14,14.634,0,9634500,1193847.3,287556000,383791000,1413661000,116517200,0.786480529
0.4,0.1,0.1,72,18.6,14.634,0,9550250,1311268.5,315161280,307090600,1460559000,133181990,0.826271791
0.4,0.2,0.1,72,23.2,14.634,0,9491380,1409575.7,339082560,241938200,1499813000,146982780,0.861094857
0.4,0.3,0.1,72,27.8,14.634,0,9457890,1488768.9,359319840,188333800,1531423000,157919570,0.89048812
0.4,0.4,0.1,72,32.4,14.634,0,9449780,1548848.1,375873120,146277400,1555389000,165992360,0.914038733
0.4,0.5,0.1,72,37,14.634,0,9467050,1589813.3,388742400,115769000,1571711000,171201150,0.931395335
0.4,0.6,0.1,72,41.6,14.634,0,9509700,1611664.5,397927680,96808600,1580389000,173545940,0.94227955
0.4,0.7,0.1,72,46.2,14.634,0,9577730,1614401.7,403428960,89396200,1581423000,173026730,0.946495587
0.4,0.8,0.1,72,50.8,14.634,0,9671140,1598024.9,405246240,93531800,1574813000,169643520,0.943937368
0.4,0.9,0.1,72,55.4,14.634,0,9789930,1562534.1,403379520,109215400,1560559000,163396310,0.934592721
0.4,1,0.1,72,60,14.634,0,9934100,1507929.3,397828800,136447000,1538661000,154285100,0.918544357
0.5,0,0.1,85,14,14.634,0,11068250,1766967.3,333119500,258399000,1520014000,157176500,0.854702479
