,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
0.81,13.43439,65.71828,89,38,121.62294
0.81028,13.42823,65.72595,89,38,121.63251
0.81055,13.45297,65.73547,89,38,121.58091
0.81083,13.4892,65.73883,89,38,121.42106
0.81111,13.53155,65.75334,89,38,121.43568
0.81139,13.57733,65.76015,89,38,121.20134
0.81167,13.60376,65.77155,89,38,121.17031
0.81194,13.58386,65.77885,95,38,121.07145
0.81222,13.55036,65.7831,95,53,121.0859
0.8125,13.50297,65.78313,95,53,120.96262
0.81278,13.46212,65.78223,95,53,121.0023
0.81305,13.42662,65.76917,95,53,120.78703
0.81333,13.44634,65.75517,95,53,120.76908
0.81361,13.49488,65.73683,95,53,120.74028
0.81389,13.52311,65.72327,95,53,120.74901
0.81417,13.59842,65.72707,81,53,120.74236
0.81444,13.61991,65.73568,81,51,120.62776
0.81472,13.59848,65.75092,81,51,120.62122
0.815,13.63722,65.75265,81,51,120.60915
0.81528,13.62711,65.76183,81,51,120.60557
0.81555,13.63895,65.76572,81,51,120.59674
0.81583,13.63418,65.76882,81,51,120.57822
0.81611,13.69158,65.77125,81,51,120.56274
0.81639,13.90251,65.72691,93,51,120.53262
0.81667,13.91379,65.74585,93,54,120.50514
0.81694,13.63356,65.79681,93,54,120.47872
0.81722,13.32974,65.79042,93,54,120.44145
0.8175,13.07284,65.80186,93,54,120.40318
0.81778,13.10889,65.74619,93,54,120.36223
0.81805,13.44914,65.67416,93,54,120.31448
0.81833,13.99244,65.64828,93,54,120.26801
0.81861,13.8453,65.70705,83,54,120.2207
0.81889,13.39166,65.80891,83,56,120.00893
0.81917,12.94327,65.87399,83,56,119.90531
0.81944,12.38522,65.9624,83,56,120.0743
0.81972,12.42651,65.94794,83,56,120.12541
0.82,12.69155,65.90067,83,56,120.23924
0.82028,13.05893,65.85185,83,56,120.39707
0.82055,13.3109,65.80542,83,56,120.40578
0.82083,13.48024,65.78409,99,56,120.5683
0.82111,13.5428,65.78313,99,55,120.69004
0.82139,13.56518,65.79356,99,55,120.84202
0.82167,13.58106,65.79766,99,55,120.95632
0.82194,13.58056,65.80146,99,55,121.03569
0.82222,13.55424,65.81857,99,55,121.15188
0.8225,13.52079,65.82825,99,55,121.2156
0.82278,13.48018,65.84087,99,55,121.35166
0.82305,13.44206,65.85574,103,55,121.4031
0.82333,13.41414,65.86294,103,56,121.44731
0.82361,13.4594,65.86674,103,56,121.51325
0.82389,13.50401,65.86674,103,56,121.51864
0.82417,13.57212,65.86672,103,56,121.49451
0.82444,13.64659,65.85914,103,56,121.45499
0.82472,13.65404,65.85343,103,56,121.40765
0.825,13.61818,65.84769,103,56,121.42576
0.82528,13.53493,65.84695,96,56,121.44421
0.82555,13.46346,65.84771,96,57,121.5204
0.82583,13.39844,65.85147,96,57,121.43221
0.82611,13.36742,65.86251,96,57,121.33726
0.82639,13.40706,65.86636,96,57,121.34578
0.82667,13.4573,65.87333,96,57,121.18684
0.82694,13.51423,65.87337,96,57,121.24229
0.82722,13.58947,65.86623,96,57,121.17042
0.8275,13.61764,65.86242,92,57,121.15745
0.82778,13.61296,65.8592,92,60,121.11351
0.82805,13.56869,65.86533,92,60,121.0416
0.82833,13.49981,65.87251,92,60,121.0695
0.82861,13.45403,65.89107,92,60,121.01408
0.82889,13.4277,65.91302,92,60,120.9678
0.82917,13.39801,65.9312,92,60,121.00529
0.82944,13.42125,65.94072,92,60,120.91039
0.82972,13.46622,65.95927,93,60,120.79433
0.83,13.51862,65.97031,93,57,120.7358
