Time (hr),MX03 (uL/min),MX04 (uL/min)
0.81,80.45921,89.33634
0.81002,80.25982,89.58761
0.81004,80.12667,89.82149
0.81005,80.05635,90.12056
0.81007,79.88496,90.36604
0.81009,79.74464,90.6344
0.81012,79.70264,90.9386
0.81013,79.58929,91.23427
0.81015,79.42917,91.51901
0.81017,79.38103,91.80067
0.81019,79.31344,92.13594
0.81021,79.16253,92.43331
0.81022,79.11883,92.74057
0.81024,79.1079,93.09598
0.81027,78.98294,93.42851
0.81029,78.90885,93.75866
0.8103,78.91329,94.08506
0.81032,78.8351,94.46607
0.81034,78.75726,94.80134
0.81036,78.79311,95.14344
0.81037,78.77058,95.54391
0.8104,78.68045,95.91058
0.81042,78.6941,96.27795
0.81044,78.72039,96.61493
0.81045,78.65313,96.27693
0.81047,78.66576,96.63575
0.81049,78.7395,94.60161
0.81051,78.70537,91.69481
0.81053,78.68932,91.5736
0.81055,78.77741,91.62618
0.81057,78.79175,91.63266
0.81059,78.77434,91.56984
0.81061,78.92115,91.50462
0.81062,79.01606,91.41211
0.81064,79.02835,91.31753
0.81066,79.50598,91.1523
0.81068,79.87846,90.97305
0.8107,79.97645,90.79073
0.81072,80.04131,90.51829
0.81074,80.19459,90.28202
0.81076,80.26253,90.02596
0.81077,80.32194,89.73542
0.81079,80.48412,89.40425
0.81081,80.61932,89.056
0.81083,80.69648,88.70742
0.81085,80.88426,88.2506
0.81087,81.07886,87.85081
0.81089,81.18265,87.43225
0.81091,81.34585,86.98295
0.81093,81.55855,86.47732
0.81094,81.71014,85.94164
0.81096,81.86787,85.45854
0.81099,82.12359,85.56677
0.811,82.33015,84.98056
0.81102,82.48651,87.29569
0.81104,82.7337,89.56746
0.81106,83.00445,89.38104
0.81108,83.17174,89.05192
0.81109,83.41175,88.74431
0.81111,83.67976,88.45854
0.81114,83.83066,88.19975
0.81116,84.03176,87.96726
0.81117,84.2571,87.68558
0.81119,84.1062,87.48143
0.81121,84.08845,87.26599
0.81123,84.33972,87.04134
0.81124,84.63675,86.83547
0.81127,84.86959,86.64257
0.81129,85.16219,86.47016
0.81131,85.46536,86.2455
0.81132,85.72039,86.11098
0.81134,86.00376,86.00924
