Time(hr),mz284,mz306,mz314_pk1,mz314_pk2,mz352,mz384,mz406,mz577
4.00833,5.64E+08,899000,2.44E+06,6.72E+06,6.29E+08,7.38E+08,57000,1.10E+06
4.06667,5.66E+08,1.01E+06,444000,6.01E+06,6.36E+08,1.48E+09,1.34E+06,5.39E+07
4.125,5.74E+08,829000,599000,6.61E+06,6.48E+08,1.25E+09,4.73E+06,1.39E+08
4.18333,5.84E+08,1.06E+06,2.53E+06,6.79E+06,6.52E+08,1.21E+09,7.28E+06,1000000
4.24167,5.88E+08,1.06E+06,1.44E+06,6.84E+06,6.66E+08,1.22E+09,3.45E+06,1.29E+08
