,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
4,13.86889,61.40741,90,56,150.82175
4.00028,13.50483,61.40608,90,56,150.83467
4.00055,13.41776,61.40152,90,56,151.07645
4.00083,13.40893,61.40308,90,56,151.29114
4.00111,13.42464,61.40155,90,57,151.31467
4.00139,13.46902,61.40144,90,57,151.51692
4.00167,13.53218,61.4022,90,57,151.5872
4.00194,13.56934,61.40894,90,57,151.55284
4.00222,13.60093,61.42775,90,57,151.60165
4.0025,13.60709,61.4437,90,57,151.70372
4.00278,13.58854,61.47316,90,57,151.89674
4.00305,13.55202,61.4875,90,57,151.91617
4.00333,13.48843,61.50583,94,51,152.06667
4.00361,13.42956,61.50766,94,51,151.99147
4.00389,13.39073,61.49481,94,51,151.99503
4.00417,13.38609,61.48806,94,51,151.9071
4.00444,13.42954,61.46974,94,51,151.83284
4.00472,13.49833,61.46566,94,51,151.8309
4.005,13.57517,61.467,94,51,151.7198
4.00528,13.62229,61.47259,94,51,151.84627
4.00555,13.63771,61.48945,90,59,151.89284
4.00583,13.61795,61.50555,90,59,151.86111
4.00611,13.59382,61.51837,90,59,151.8454
4.00639,13.54723,61.53291,90,59,151.75717
4.00667,13.48374,61.52542,90,59,151.60277
4.00694,13.44366,61.52534,90,59,151.59305
4.00722,13.39784,61.51901,90,59,151.5947
4.0075,13.38812,61.50821,90,59,151.58725
4.00778,13.40931,61.50394,100,56,151.53842
4.00805,13.43952,61.50961,100,56,151.47502
4.00833,13.49314,61.51778,100,56,151.31155
4.00861,13.558,61.52856,100,56,151.28369
4.00889,13.60833,61.54033,100,56,151.27396
4.00917,13.63541,61.54033,100,56,151.09946
4.00944,13.609,61.54365,100,56,151.10533
4.00972,13.55119,61.54407,100,56,150.99825
4.01,13.50252,61.55413,100,54,150.9395
4.01028,13.44461,61.55936,100,54,150.89835
4.01055,13.41046,61.55822,100,54,150.83548
4.01083,13.40704,61.55561,100,54,150.81267
4.01111,13.40521,61.54783,100,54,150.62845
4.01139,13.40702,61.54781,100,54,150.63528
4.01167,13.46739,61.54784,100,54,150.62102
4.01194,13.54741,61.55248,100,54,150.5783
4.01222,13.57041,61.55956,90,50,150.57439
4.0125,13.63882,61.5682,90,50,150.56842
4.01278,13.63353,61.58324,90,50,150.5573
4.01305,13.56846,61.59517,90,50,150.54306
4.01333,13.53513,61.58987,90,50,150.51949
4.01361,13.42705,61.61731,90,50,150.49536
4.01389,13.49115,61.64015,90,50,150.46246
4.01417,13.65798,61.66307,90,50,150.42264
4.01444,13.57094,61.69149,96,55,150.38168
4.01472,13.36807,61.61882,96,55,150.33675
4.015,13.32405,61.51808,96,55,150.29037
4.01528,13.46454,61.43986,96,55,149.7671
4.01555,13.73206,61.43143,96,55,149.82002
4.01583,14.30326,61.45471,96,55,149.85255
4.01611,14.37078,61.48681,96,55,150.03726
4.01639,14.30137,61.49805,96,55,150.09196
4.01667,14.10821,61.47883,98,56,150.08853
4.01694,13.5981,61.50735,98,56,150.12181
4.01722,13.12309,61.53906,98,56,150.34276
4.0175,12.84541,61.55265,98,56,150.35086
4.01778,12.80186,61.53735,98,56,150.63487
4.01805,13.01492,61.4956,98,56,150.74234
4.01833,13.32938,61.47008,98,56,150.89357
4.01861,13.44628,61.47005,98,56,150.99033
4.01889,13.52192,61.48125,96,57,150.97269
4.01917,13.5688,61.49506,96,57,151.21852
4.01944,13.61385,61.51229,96,57,151.29726
4.01972,13.61005,61.5269,96,57,151.35721
4.02,13.55784,61.53362,96,57,151.47447
4.02028,13.50549,61.53506,96,57,151.46397
4.02055,13.44453,61.52757,96,57,151.43245
4.02083,13.40776,61.51897,96,57,151.46478
4.02111,13.39271,61.50069,97,61,151.46103
4.02139,13.39548,61.48427,97,61,151.423
4.02167,13.43593,61.47162,97,61,151.36922
4.02194,13.4758,61.46559,97,61,151.4253
4.02222,13.54626,61.46631,97,61,151.50513
4.0225,13.61678,61.47688,97,61,151.55022
4.02278,13.63776,61.48483,97,61,151.57338
4.02305,13.65444,61.49607,97,61,151.53723
4.02333,13.6073,61.49982,97,56,151.40434
4.02361,13.55944,61.4995,97,56,151.3125
4.02389,13.51521,61.49187,97,56,151.2886
4.02417,13.43712,61.47918,97,56,151.25851
4.02444,13.39073,61.47542,97,56,151.27284
4.02472,13.35904,61.46486,97,56,151.22716
4.025,13.36802,61.45811,97,56,151.08102
4.02528,13.41866,61.45808,97,56,151.09433
4.02555,13.48098,61.45335,95,61,150.98886
4.02583,13.53168,61.45332,95,61,150.98474
4.02611,13.57209,61.46095,95,61,150.92488
4.02639,13.60818,61.46095,95,61,150.84438
4.02667,13.59798,61.46568,95,61,150.70316
4.02694,13.57073,61.46567,95,61,150.6828
4.02722,13.51217,61.46559,95,61,150.6769
4.0275,13.45362,61.46556,95,61,150.67157
4.02778,13.42827,61.46553,95,55,150.6617
4.02805,13.42118,61.46556,95,55,150.64764
4.02833,13.44618,61.4618,95,55,150.63336
4.02861,13.47782,61.45273,95,55,150.6161
4.02889,13.40761,61.45194,95,55,150.59196
4.02917,13.35897,61.47183,95,55,150.57051
4.02944,13.26628,61.46801,95,55,150.54428
4.02972,13.20895,61.42217,95,55,150.51442
4.03,13.36815,61.38874,96,49,150.4841
4.03028,13.69206,61.33816,96,49,150.4484
4.03055,13.8186,61.3066,96,49,150.4065
4.03083,13.94074,61.31514,96,49,150.36404
4.03111,13.9958,61.32776,96,49,150.31514
4.03139,13.8541,61.40744,96,49,149.87062
4.03167,13.67669,61.46846,96,49,149.97995
4.03194,13.63084,61.54637,96,49,149.97746
4.03222,13.72726,61.60649,91,64,150.08904
4.0325,13.45969,61.55877,91,64,150.0887
4.03278,13.51399,61.54774,91,64,150.19539
4.03305,13.4141,61.51528,91,64,150.4252
4.03333,13.23279,61.48373,91,64,150.517
4.03361,13.36467,61.48417,91,64,150.68723
4.03389,13.41281,61.47639,91,64,150.84369
4.03417,13.48372,61.4697,91,64,150.98402
4.03444,13.44438,61.46966,94,56,151.17001
4.03472,13.40072,61.466,94,56,151.24913
4.035,13.37832,61.46138,94,56,151.30096
4.03528,13.39787,61.4568,94,56,151.41577
4.03555,13.4233,61.45551,94,56,151.36943
4.03583,13.47186,61.45165,94,56,151.45955
4.03611,13.53021,61.45441,94,56,151.64285
4.03639,13.56841,61.46052,94,56,151.65686
4.03667,13.59378,61.46182,99,49,151.76958
4.03694,13.59474,61.46606,99,49,151.83122
4.03722,13.53922,61.46612,99,49,151.75876
4.0375,13.48661,61.4661,99,49,151.75877
4.03778,13.42482,61.46609,99,49,151.73552
4.03805,13.38906,61.46565,99,49,151.63045
4.03833,13.38117,61.45735,99,49,151.58858
4.03861,13.38111,61.44865,99,49,151.64896
4.03889,13.42562,61.44868,95,55,151.51927
4.03917,13.45554,61.44865,95,55,151.53827
4.03944,13.50869,61.45628,95,55,151.57983
4.03972,13.57131,61.46571,95,55,151.51181
4.04,13.58568,61.47313,95,55,151.47446
4.04028,13.59408,61.47913,95,55,151.51344
4.04055,13.59132,61.49558,95,55,151.4235
4.04083,13.51988,61.50307,95,55,151.36378
4.04111,13.47424,61.50053,89,56,151.45969
4.04139,13.40616,61.49905,89,56,151.28758
4.04167,13.35093,61.48076,89,56,151.2432
4.04194,13.34634,61.47329,89,56,151.2224
4.04222,13.3393,61.46955,89,56,151.00731
4.0425,13.39651,61.46321,89,56,151.0464
4.04278,13.46247,61.46215,89,56,150.92976
4.04305,13.52996,61.46215,89,56,150.87086
4.04333,13.58703,61.46588,97,56,150.79099
4.04361,13.61796,61.46621,97,56,150.80411
4.04389,13.62543,61.47851,97,56,150.718
4.04417,13.58402,61.48593,97,56,
4.04444,13.54759,61.48884,97,56,150.69019
4.04472,13.45722,61.48888,97,56,
4.045,13.38617,61.4814,97,56,150.68533
4.04528,13.32639,61.47242,97,56,150.67181
4.04555,13.28442,61.46237,89,57,150.65457
4.04583,13.25767,61.46047,89,57,150.6313
4.04611,13.18431,61.42662,89,57,150.58292
4.04639,13.19326,61.37545,89,57,
4.04667,13.5045,61.38763,89,57,150.5541
4.04694,13.68343,61.44933,89,57,150.51958
4.04722,14.10373,61.52049,89,57,150.42998
4.0475,14.31827,61.6252,89,57,150.37854
4.04778,13.81876,61.6017,94,56,150.32993
4.04805,13.63725,61.51643,94,56,
4.04833,13.38948,61.44481,94,56,149.98898
4.04861,13.08742,61.39794,94,56,150.01213
4.04889,13.26312,61.37755,94,56,150.00974
4.04917,13.53715,61.43874,94,56,150.2714
4.04944,13.52334,61.48667,94,56,150.44217
4.04972,13.65577,61.50172,94,56,150.53896
4.05,13.79891,61.55616,92,59,150.84148
4.05028,13.66897,61.54784,92,59,150.93388
4.05055,13.66558,61.55159,92,59,151.12515
4.05083,13.62003,61.55914,92,59,151.28714
4.05111,13.59453,61.56699,92,59,151.31691
4.05139,13.54352,61.58541,92,59,151.39546
4.05167,13.4977,61.59999,92,59,151.45981
4.05194,13.45665,61.61082,92,59,151.52135
4.05222,13.41466,61.60499,98,50,151.64554
4.0525,13.39521,61.59443,98,50,151.79588
4.05278,13.40671,61.57977,98,50,151.75308
4.05305,13.42701,61.56181,98,50,151.8912
4.05333,13.46903,61.5593,98,50,151.84
4.05361,13.53186,61.56269,98,50,151.88087
4.05389,13.5883,61.57019,98,50,151.88094
4.05417,13.60702,61.58486,98,50,151.93887
4.05444,13.58713,61.59651,95,64,151.90244
4.05472,13.53763,61.60299,95,64,151.97266
4.055,13.47005,61.61165,95,64,152.05705
4.05528,13.42201,61.61539,95,64,151.96489
4.05555,13.38694,61.61086,95,64,151.93271
4.05583,13.34782,61.59245,95,64,151.86082
4.05611,13.32899,61.58157,95,64,151.80681
4.05639,13.36209,61.56651,95,64,151.70558
4.05667,13.41325,61.57027,97,61,151.73093
4.05694,13.46308,61.58789,97,61,151.76254
4.05722,13.54314,61.60256,97,61,151.58183
4.0575,13.58009,61.63057,97,61,151.67372
4.05778,13.59017,61.63824,97,61,151.63602
4.05805,13.60231,61.64619,97,61,151.50357
4.05833,13.56915,61.65772,97,61,151.52898
4.05861,13.50448,61.65027,97,61,151.40433
4.05889,13.42809,61.64262,96,50,151.31413
4.05917,13.36721,61.63473,96,50,151.22415
4.05944,13.3607,61.6247,96,50,151.15659
4.05972,13.37467,61.62411,96,50,151.15785
4.06,13.42183,61.63589,96,50,151.03445
4.06028,13.48236,61.64894,96,50,151.01888
4.06055,13.52619,61.66762,96,50,150.99033
4.06083,13.57626,61.6813,96,50,150.85861
4.06111,13.61322,61.6924,97,59,150.91988
4.06139,13.61725,61.70293,97,59,150.83217
4.06167,13.60023,61.70668,97,59,150.71832
4.06194,13.54823,61.70476,97,59,150.58603
4.06222,13.47802,61.69826,97,59,150.58183
4.0625,13.43176,61.67771,97,59,150.56763
4.06278,13.38889,61.653,97,59,150.55843
4.06305,13.43898,61.62687,97,59,150.53763
4.06333,13.68716,61.59462,98,57,150.51143
4.06361,13.75416,61.59061,98,57,150.49182
4.06389,14.0292,61.63549,98,57,150.46127
4.06417,14.1156,61.70334,98,57,150.43082
4.06444,13.67867,61.72776,98,57,150.40256
4.06472,13.57064,61.7128,98,57,150.36142
4.065,13.53547,61.67301,98,57,150.32295
4.06528,13.61778,61.63783,98,57,150.28268
4.06555,14.11659,61.6666,98,56,149.8945
4.06583,14.40744,61.71918,98,56,149.8951
4.06611,14.49865,61.78801,98,56,149.90059
4.06639,14.36792,61.82136,98,56,149.96744
4.06667,14.23685,61.81755,98,56,150.20294
4.06694,14.061,61.79103,98,56,150.41365
4.06722,13.7681,61.74763,98,56,150.55856
4.0675,13.69861,61.70548,98,56,150.71574
4.06778,13.58005,61.68758,104,57,150.7459
4.06805,13.5829,61.6914,104,57,150.94884
4.06833,13.60906,61.7006,104,57,151.08966
4.06861,13.59699,61.71287,104,57,151.2408
4.06889,13.48559,61.71661,104,57,151.3235
4.06917,13.46314,61.72034,104,57,151.27222
4.06944,13.39804,61.71297,104,57,151.38376
4.06972,13.37341,61.70272,104,57,151.29039
4.07,13.42651,61.69522,94,57,151.43639
4.07028,13.42605,61.69152,94,57,151.62135
4.07055,13.48246,61.69153,94,57,151.59592
4.07083,13.51374,61.69163,94,57,151.72781
4.07111,13.54561,61.69166,94,57,151.80647
4.07139,13.58777,61.69788,94,57,151.655
4.07167,13.57402,61.70169,94,57,151.79636
4.07194,13.56394,61.7137,94,57,151.69695
4.07222,13.5185,61.71372,104,55,151.73067
4.0725,13.47052,61.7188,104,55,151.76889
4.07278,13.43647,61.72256,104,55,151.64117
4.07305,13.40597,61.71086,104,55,151.71619
4.07333,13.41176,61.71047,104,55,151.68776
4.07361,13.40228,61.70103,104,55,151.70345
4.07389,13.43793,61.69537,104,55,151.57878
4.07417,13.5077,61.70066,104,55,151.54005
4.07444,13.57546,61.71838,111,65,151.41681
4.07472,13.61749,61.73692,111,65,151.35616
4.075,13.64529,61.75546,111,65,151.39703
4.07528,13.62019,61.76678,111,65,151.34013
4.07555,13.5726,61.76721,111,65,151.24643
4.07583,13.51908,61.76723,111,65,151.20157
4.07611,13.45638,61.75744,111,65,151.05981
4.07639,13.38291,61.73929,111,65,151.00778
4.07667,13.34016,61.73174,96,58,150.98666
4.07694,13.34922,61.7181,96,58,150.86238
4.07722,13.37228,61.71803,96,58,150.80826
4.0775,13.45094,61.72877,96,58,150.7344
4.07778,13.50897,61.72123,96,58,150.67752
4.07805,13.53556,61.73318,96,58,150.65846
4.07833,13.56688,61.74118,96,58,150.65172
4.07861,13.54623,61.74778,96,58,150.64297
4.07889,13.57506,61.77011,98,50,150.63623
4.07917,13.81168,61.81542,98,50,150.61948
4.07944,13.99577,61.86533,98,50,150.5989
4.07972,14.01863,61.89972,98,50,150.57439
4.08,14.15433,61.93258,98,50,150.548
4.08028,13.88911,61.88407,98,50,150.52335
4.08055,13.61552,61.8494,98,50,150.493
4.08083,13.41144,61.75486,98,50,150.45976
4.08111,13.26225,61.66607,103,65,150.42567
4.08139,13.48601,61.70911,103,65,150.38959
4.08167,13.56605,61.74281,103,65,150.04434
4.08194,13.9379,61.79938,103,65,150.16238
4.08222,14.04202,61.85468,103,65,150.24455
4.0825,13.88016,61.82807,103,65,150.49857
4.08278,13.83837,61.78619,103,65,150.68849
4.08305,13.64228,61.79614,103,65,150.78784
4.08333,13.46847,61.8034,96,42,150.85928
4.08361,13.39576,61.79948,96,42,150.92307
4.08389,13.34228,61.78848,96,42,150.99324
4.08417,13.35965,61.77974,96,42,151.05566
4.08444,13.40146,61.7766,96,42,151.16077
4.08472,13.45247,61.78052,96,42,151.28708
4.085,13.53969,61.79166,96,42,151.35902
4.08528,13.58981,61.80819,96,42,151.31326
4.08555,13.61591,61.8266,99,61,151.46677
4.08583,13.62948,61.8426,99,61,151.38763
4.08611,13.61591,61.84871,99,61,151.40376
4.08639,13.56042,61.84877,99,61,151.50299
4.08667,13.50999,61.84757,99,61,151.5117
4.08694,13.44304,61.83996,99,61,151.56346
4.08722,13.40031,61.82511,99,61,151.68825
4.0875,13.39495,61.81829,99,61,151.55058
4.08778,13.41444,61.80894,94,58,151.51709
4.08805,13.4595,61.79863,94,58,151.51343
4.08833,13.51331,61.80582,94,58,151.25874
4.08861,13.56183,61.80951,94,58,151.25894
4.08889,13.58526,61.8148,94,58,151.3192
4.08917,13.58455,61.81304,94,58,151.17181
4.08944,13.56048,61.80924,94,58,151.11232
4.08972,13.5069,61.80117,94,58,151.13771
4.09,13.44416,61.78661,97,59,150.98987
4.09028,13.41385,61.78126,97,59,151.0681
4.09055,13.3986,61.77514,97,59,150.97903
4.09083,13.40292,61.75573,97,59,150.8602
4.09111,13.4521,61.75573,97,59,150.75174
4.09139,13.49186,61.75576,97,59,150.64095
4.09167,13.53728,61.75584,97,59,150.63704
4.09194,13.58152,61.77033,97,59,150.62282
4.09222,13.59469,61.7776,99,57,150.61789
4.0925,13.5947,61.78866,99,57,150.60818
4.09278,13.56961,61.79219,99,57,150.5936
4.09305,13.513,61.79331,99,57,150.58025
4.09333,13.36354,61.79425,99,57,150.58025
4.09361,13.10603,61.78816,99,57,150.55551
4.09389,13.00434,61.75404,99,57,150.53015
4.09417,12.94711,61.71359,99,57,150.50879
4.09444,13.17492,61.70644,96,58,150.05437
4.09472,13.40115,61.69935,96,58,150.03293
4.095,13.27515,61.7235,96,58,150.03241
4.09528,13.13309,61.74829,96,58,150.02847
4.09555,12.84381,61.72513,96,58,150.01889
4.09583,12.71539,61.68513,96,58,150.01212
4.09611,13.04114,61.67437,96,58,150.00186
4.09639,13.42611,61.70973,96,58,149.9694
4.09667,13.84792,61.79437,97,56,149.96127
4.09694,13.95191,61.83716,97,56,149.95662
4.09722,14.07721,61.91493,97,56,150.17433
4.0975,13.93212,61.89285,97,56,150.3807
4.09778,13.72296,61.84512,97,56,150.5847
4.09805,13.72769,61.83975,97,56,150.74318
4.09833,13.62846,61.80545,97,56,150.88356
4.09861,13.61348,61.80513,97,56,151.07288
4.09889,13.62668,61.81998,96,52,151.0589
4.09917,13.6088,61.83229,96,52,151.26181
4.09944,13.56612,61.83988,96,52,151.35745
4.09972,13.50861,61.84368,96,52,151.46727
4.1,13.44402,61.83984,96,52,151.62906
4.10028,13.41386,61.82801,96,52,151.7424
4.10055,13.39433,61.8169,96,52,151.78226
4.10083,13.39285,61.81308,96,52,151.74991
4.10111,13.43524,61.80548,97,62,151.84341
4.10139,13.48506,61.8158,97,62,151.80606
4.10167,13.52302,61.8231,97,62,151.78491
4.10194,13.56461,61.82843,97,62,151.87766
4.10222,13.58898,61.84368,97,62,151.86275
4.1025,13.57907,61.84725,97,62,151.84096
4.10278,13.54554,61.85486,97,62,151.84871
4.10305,13.4972,61.85483,97,62,151.87207
4.10333,13.42301,61.8511,98,67,151.91225
4.10361,13.37493,61.84755,98,67,151.92278
4.10389,13.34238,61.84483,98,67,151.81804
4.10417,13.3472,61.8399,98,67,151.72667
4.10444,13.38623,61.83988,98,67,151.81279
4.10472,13.45036,61.8399,98,67,151.74985
4.105,13.51311,61.8399,98,67,151.73215
4.10528,13.57739,61.8437,98,67,151.71593
4.10555,13.62333,61.84363,98,29,151.5136
4.10583,13.63734,61.85082,98,29,151.54575
4.10611,13.62244,61.85587,98,29,151.3872
4.10639,13.5852,61.86351,98,29,151.41183
4.10667,13.50445,61.86675,98,29,151.39496
4.10694,13.43826,61.86144,98,29,151.19896
4.10722,13.38665,61.85443,98,29,151.15115
4.1075,13.35041,61.84682,98,29,151.11946
4.10778,13.37419,61.8474,97,51,151.04678
4.10805,13.42728,61.855,97,51,151.01416
4.10833,13.47662,61.85884,97,51,150.9318
4.10861,13.55759,61.87638,97,51,150.84085
4.10889,13.61384,61.89084,97,51,150.75227
4.10917,13.64068,61.90191,97,51,150.72153
4.10944,13.67142,61.91671,97,51,150.56877
4.10972,13.64474,61.91974,97,51,150.60692
4.11,13.58316,61.91765,92,57,150.60176
4.11028,13.57175,61.92516,92,57,150.59526
4.11055,13.70576,61.92175,92,57,150.57773
4.11083,13.72218,61.91091,92,57,150.56465
4.11111,13.96592,61.92445,92,57,150.54184
4.11139,14.2879,61.92635,92,57,150.5177
4.11167,14.43656,61.94188,92,57,150.48972
4.11194,14.26919,61.95771,92,57,150.45482
4.11222,13.864,61.90668,92,56,150.41678
4.1125,13.53192,61.85619,92,56,150.38217
