Time (hr),MX03 (uL/min),MX04 (uL/min)
4.004,56.38271,60.80137
4.00402,56.0833,61.00041
4.00404,55.79855,61.31553
4.00406,55.47114,61.5255
4.00408,55.12222,61.75527
4.00409,54.79651,62.01201
4.00411,54.46705,62.209
4.00414,54.6917,62.53676
4.00415,54.6224,62.78497
4.00417,55.11471,63.04206
4.00419,57.64595,63.34864
4.00421,58.35199,63.59104
4.00423,58.4551,63.96796
4.00424,58.3035,64.30493
4.00426,58.1287,64.57977
4.00429,57.96005,64.9205
4.00431,57.81597,65.17793
4.00432,57.7033,65.55212
4.00434,57.53293,65.94235
4.00436,57.3933,66.23357
4.00438,57.26458,66.61016
4.00439,57.17172,66.92596
4.00442,57.0949,67.35034
4.00444,56.95082,67.82456
4.00446,56.84601,68.18032
4.00447,56.72823,68.59206
4.00449,56.68282,69.0178
4.00451,56.53739,69.58626
4.00453,56.41243,70.22197
4.00455,56.23284,70.62689
4.00457,55.70604,71.08439
4.00459,55.34722,71.49374
4.00461,55.10891,71.95909
4.00463,55.00683,72.49476
4.00464,54.95016,71.8686
4.00466,54.88735,72.36672
4.00468,54.89725,69.61765
4.00471,54.83579,66.56645
4.00472,54.78867,67.21718
4.00474,54.74702,67.54663
4.00476,54.71595,67.83956
4.00478,54.75487,68.13352
4.00479,54.704,68.27419
4.00481,54.68898,68.61662
4.00483,54.65245,68.81601
4.00486,54.65961,68.99457
4.00487,54.69751,69.2322
4.00489,54.67293,69.28887
4.00491,54.6719,69.53811
4.00493,54.66337,69.69584
4.00495,54.70809,69.80236
4.00496,54.76784,70.00584
4.00499,54.76784,70.01028
4.00501,54.80643,70.17176
4.00503,54.81257,70.32745
4.00504,54.89758,70.38344
4.00506,54.95426,70.55039
4.00508,54.99011,70.51351
4.0051,55.03995,70.59238
4.00511,55.08946,70.72655
4.00514,55.21578,70.7286
4.00516,55.28748,70.85288
4.00518,55.36191,70.78767
4.00519,55.43873,70.78664
4.00521,55.52921,70.91672
4.00523,55.67397,70.88122
4.00525,55.7583,70.95326
4.00526,55.85731,70.86449
4.00529,55.95632,70.78356
4.00531,56.08605,70.88052
4.00533,56.26939,70.79893
4.00535,56.37898,70.81532
4.00536,56.52511,70.70299
4.00538,56.64017,70.54765
4.0054,56.81975,70.62242
4.00542,57.00685,70.50565
4.00544,57.1441,70.46947
4.00546,57.30763,70.34349
4.00548,57.45512,70.11781
4.0055,57.67226,70.14751
4.00551,57.89043,69.98637
4.00553,58.06898,69.89179
4.00556,58.27212,69.74396
4.00558,58.44932,69.45888
4.00559,58.70743,69.44283
4.00561,58.92832,69.2595
4.00563,59.12907,69.10415
4.00565,59.34519,68.94744
4.00566,59.55823,68.61047
4.00568,59.85082,68.53399
4.00571,60.09562,68.31242
4.00573,60.34417,68.10074
4.00574,60.58623,67.91707
4.00576,60.85117,67.53947
4.00578,61.17142,67.3807
4.0058,61.44079,67.1499
4.00582,61.70778,66.88086
4.00583,61.96931,66.68831
4.00586,62.26497,66.27622
4.00588,62.60912,66.04815
4.0059,62.90922,65.75078
4.00591,63.22468,65.41245
4.00593,63.5101,65.14922
4.00595,63.85425,64.53467
4.00597,64.21034,64.08298
4.00598,64.53946,63.72246
4.00601,64.86448,63.32983
4.00603,65.16014,63.06182
4.00605,64.9867,62.59579
4.00606,65.04201,62.20624
4.00608,64.53331,61.88599
4.0061,62.00002,61.46503
4.00612,61.27691,61.14956
4.00614,61.22536,60.64905
4.00616,61.33735,60.16732
4.00618,61.4845,59.82249
4.0062,61.61764,59.35987
4.00622,61.73407,59.00275
4.00623,61.87063,58.4995
4.00625,61.97852,57.95256
4.00627,62.0929,58.43396
4.00629,62.17928,58.13966
4.00631,62.26975,58.01027
4.00633,62.35545,63.5118
4.00635,62.43227,63.11678
4.00637,62.48894,62.74294
4.00638,62.53435,62.46366
4.0064,62.56405,62.23048
4.00643,62.68047,62.03211
4.00645,62.72827,61.74156
4.00646,62.86142,61.57358
4.00648,63.32199,61.37625
4.0065,63.68491,61.17174
4.00652,63.86961,61.01196
4.00653,63.89487,60.7559
4.00655,63.87234,60.6125
4.00658,63.85526,60.47321
4.0066,63.81429,60.31138
4.00661,63.78083,60.22465
4.00663,63.74157,60.05293
4.00665,63.70027,59.9348
4.00667,63.66612,59.82487
4.00669,63.60227,59.67328
4.00671,63.54183,59.59305
4.00673,63.46808,59.45785
4.00675,63.39195,59.34245
4.00677,63.30592,59.27826
4.00678,63.20451,59.1707
4.0068,63.09765,59.15363
4.00682,62.99899,59.09935
4.00684,62.88769,59.01501
4.00686,62.77913,58.97882
4.00688,62.64461,58.88766
4.0069,62.51146,58.87059
4.00692,62.35782,58.85523
4.00693,62.21443,58.7668
4.00695,62.04611,58.77704
4.00697,61.87711,58.74221
4.00699,61.69718,58.77908
4.00701,61.53125,58.8378
4.00703,61.35098,58.79751
4.00705,61.15091,58.83405
4.00707,60.95118,58.83098
4.00709,60.7395,58.86205
4.0071,60.52304,58.95082
4.00712,60.29737,58.92077
4.00714,60.04608,59.00032
4.00717,59.8105,59.05664
4.00718,59.56298,59.1321
4.0072,59.32741,59.28437
4.00722,59.06964,59.31919
4.00724,58.77876,59.41922
4.00725,58.51382,59.51515
4.00727,58.21952,59.58548
4.0073,57.94605,59.75516
4.00732,57.63399,59.81491
4.00733,57.30316,59.95011
4.00735,56.99486,60.10272
4.00737,56.67428,60.21642
4.00739,56.37213,60.44722
4.00741,56.02559,60.58925
4.00742,55.65824,60.75245
4.00745,55.31307,60.93408
4.00747,54.96039,61.06246
4.00749,55.15669,61.2994
4.0075,55.07749,61.48273
4.00752,55.46499,61.6613
4.00754,58.02081,61.89244
4.00756,58.71661,62.06963
4.00758,58.80641,62.36393
4.0076,58.63877,62.63126
4.00762,58.4445,62.83371
4.00764,58.26049,63.08739
4.00765,58.09661,63.28472
4.00767,57.97097,63.57732
4.00769,57.77807,63.89756
4.00771,57.62512,64.10242
4.00773,57.48139,64.40354
4.00775,57.37656,64.64697
4.00777,57.28609,64.99282
4.00779,57.1345,65.39296
4.0078,57.01876,65.66644
4.00782,56.89415,66.00682
4.00784,56.83202,66.31409
4.00787,56.75725,66.81938
4.00788,56.64185,67.39125
4.0079,56.55343,67.73675
4.00792,56.46603,68.12221
4.00794,56.45033,68.46977
4.00796,56.39262,68.84566
4.00797,56.33322,69.34856
4.00799,56.26561,69.6753
4.00802,56.19357,70.06382
4.00804,56.19631,70.44928
4.00805,56.06998,70.82825
4.00807,55.99418,71.35095
4.00809,55.8938,71.72207
4.00811,55.42334,72.14508
4.00812,55.11094,72.59336
4.00815,54.874,73.00851
4.00817,54.82859,73.57662
4.00819,54.80845,73.15053
4.0082,54.82416,73.39328
4.00822,54.874,73.58754
4.00824,54.8501,67.96003
4.00826,54.86239,68.30861
4.00828,54.85625,68.74733
4.0083,54.9119,68.9771
4.00832,54.97541,69.28164
4.00834,54.98122,69.39192
4.00835,55.02117,69.63023
4.00837,55.02937,69.89755
4.00839,55.12052,70.03002
4.00841,55.17925,70.27071
4.00843,55.2192,70.32534
4.00845,55.27315,70.46702
4.00847,55.32675,70.6985
4.00849,55.45103,70.77293
4.00851,55.53364,70.96105
4.00852,55.6067,70.98597
4.00854,55.69205,71.04845
4.00856,55.77741,71.27753
4.00858,55.93207,71.30792
4.0086,56.01641,71.44449
4.00862,56.12361,71.45234
4.00864,56.21921,71.43355
4.00866,56.35577,71.62919
4.00867,56.53774,71.61519
4.00869,56.6569,71.6985
4.00871,56.80405,71.68723
4.00874,56.92764,71.60632
4.00875,57.10483,71.77328
4.00877,57.30285,71.73333
4.00879,57.43975,71.75586
4.00881,57.61183,71.73606
4.00883,57.75863,71.58857
4.00884,57.97987,71.70773
4.00886,58.19803,71.6275
4.00889,58.37318,71.58927
4.00891,58.58315,71.54898
4.00892,58.75591,71.34926
4.00894,59.02152,71.40388
4.00896,59.24208,71.30964
4.00898,59.45068,71.21814
4.00899,59.6651,71.1635
4.00902,59.88564,70.9112
4.00904,60.18165,70.90233
4.00906,60.42986,70.76748
4.00907,60.67705,70.62238
4.00909,60.92628,70.54112
4.00911,61.18165,70.25127
4.00913,61.51077,70.15874
4.00915,61.77503,70.02354
4.00917,62.04646,69.82314
4.00919,62.30422,69.72618
4.00921,62.60568,69.40149
4.00923,62.94881,69.23795
4.00924,63.25164,69.05051
4.00926,63.56301,68.77534
4.00928,63.85116,68.62136
4.00931,64.18984,68.10069
4.00932,64.54935,67.70362
4.00934,64.873,67.44073
4.00936,65.20281,67.12458
4.00938,65.49574,66.94227
4.00939,65.33392,66.56568
4.00941,65.38274,66.22905
4.00943,64.96145,66.01156
4.00946,62.38514,65.6681
4.00947,61.65144,65.42809
4.00949,61.59851,65.01976
4.00951,61.7163,64.59572
4.00953,61.86788,64.35332
4.00955,62.00274,63.97366
4.00956,62.12224,63.68107
4.00959,62.253,63.2625
4.00961,62.36976,62.76745
4.00962,62.47902,62.48715
4.00964,62.57256,62.06414
4.00966,62.65519,61.71282
4.00968,62.75011,61.26318
4.0097,62.81327,60.69507
4.00971,62.87267,60.36662
4.00974,62.90818,59.9245
4.00976,62.9406,59.51207
4.00978,62.97065,59.05799
4.00979,62.99626,58.43628
4.00981,63.01879,58.43594
4.00983,63.02733,58.66605
4.00985,63.02459,58.04979
4.00986,63.01845,63.3301
4.00989,62.98431,63.66161
4.00991,62.96075,63.15496
4.00993,62.93378,62.86783
4.00994,62.88973,62.58002
4.00996,62.90681,62.39702
4.00998,62.88872,62.1215
4.01,62.89146,61.90539
4.01002,63.28476,61.7118
4.01004,63.55892,61.47213
4.01006,63.6774,61.31713
4.01008,63.62038,61.09146
4.0101,63.51454,60.88695
4.01011,63.41007,60.74629
4.01013,63.28409,60.55987
4.01015,63.16664,60.47076
4.01018,63.03998,60.33318
4.01019,62.92185,60.16623
4.01021,62.79041,60.05356
4.01023,62.64838,59.88832
4.01025,62.4944,59.79887
4.01026,62.33598,59.68313
4.01028,62.17585,59.51345
4.0103,61.999,59.44824
4.01033,61.816,59.34411
4.01034,61.6272,59.29939
4.01036,61.44215,59.269
4.01038,61.25505,59.14916
4.0104,61.04133,59.11878
4.01042,60.83137,59.04129
4.01043,60.60774,58.99145
4.01046,60.38002,58.98428
4.01048,60.1482,58.87263
4.0105,59.87985,58.87946
4.01051,59.63847,58.86342
4.01053,59.37557,58.85351
4.01055,59.13386,58.91872
4.01057,58.86107,58.87605
4.01058,58.56643,58.90883
4.01061,58.28373,58.92556
4.01063,57.98055,58.91566
4.01065,57.68966,58.98804
4.01066,57.3725,58.97131
4.01068,57.02356,59.02764
4.0107,56.71151,59.10549
4.01072,56.37283,59.13792
4.01074,56.0659,59.2779
4.01076,55.70468,59.34413
4.01078,55.32879,59.423
4.0108,54.97543,59.52679
4.01081,54.62479,59.57323
4.01083,54.88427,59.72379
4.01085,54.73883,59.8351
4.01087,55.58315,59.9266
4.01089,57.83853,60.07615
4.01091,58.37796,60.1755
4.01093,58.40391,60.3865
4.01095,58.22228,60.58144
4.01097,58.01129,60.70229
4.01098,57.8218,60.87675
4.011,57.63505,61.00035
4.01102,57.50122,61.20895
4.01105,57.29501,61.45067
4.01106,57.13011,61.57734
4.01108,56.97579,61.79482
4.0111,56.85288,61.97441
4.01112,56.74227,62.23593
4.01113,56.58214,62.5531
4.01115,56.44694,62.74327
4.01118,56.31823,63.00786
