Time (hr),MX03 (uL/min),MX04 (uL/min)
1.43001,64.34415,59.46982
1.43003,64.36635,59.52889
1.43005,64.38547,59.66785
1.43007,64.3882,59.79384
1.43009,64.38478,59.8949
1.43011,64.3619,60.04478
1.43013,64.3339,60.16666
1.43014,64.2902,60.36742
1.43016,64.24446,60.57944
1.43018,64.19666,60.71942
1.4302,64.14374,60.90753
1.43022,64.07649,61.0615
1.43024,63.9983,61.27045
1.43026,63.90816,61.52447
1.43028,63.80983,61.68015
1.4303,63.7098,61.90206
1.43031,63.58485,62.11475
1.43033,63.45239,62.37354
1.43036,63.32299,62.70267
1.43038,63.18438,62.91436
1.43039,63.05156,63.16665
1.43041,62.88427,63.4111
1.43043,62.71971,63.66955
1.43045,62.54764,64.02872
1.43046,62.35304,64.2643
1.43048,62.16389,64.55961
1.43051,61.92388,64.86484
1.43053,61.71459,65.17484
1.43054,61.49234,65.5835
1.43056,61.27315,65.89214
1.43058,61.03894,66.21375
1.4306,60.76786,66.5555
1.43062,60.52067,66.86414
1.43064,60.25745,67.29773
1.43066,59.99182,67.633
1.43068,59.70538,67.98875
1.4307,59.37319,68.38069
1.43071,59.08503,68.73371
1.43073,58.77708,69.20759
1.43075,58.49165,69.62344
1.43077,58.21511,70.00548
1.43078,57.87267,70.4343
1.43081,57.67056,70.79722
1.43083,57.70505,71.28032
1.43085,57.5917,71.7361
1.43086,57.23937,72.14852
1.43088,56.82421,72.62344
1.4309,56.44285,73.03586
1.43092,56.06593,73.56061
1.43094,55.69448,73.8078
1.43096,55.25473,73.58998
1.43098,54.83376,74.15502
1.431,54.41757,69.42405
1.43101,54.03929,68.40527
1.43103,54.38172,68.83716
1.43105,54.05944,69.0765
1.43107,55.23526,69.36021
1.4311,57.63335,69.54116
1.43111,57.91434,69.69854
1.43113,57.75831,70.02426
1.43115,57.45445,70.18302
1.43117,57.20897,70.38479
1.43118,56.96486,70.53535
1.4312,56.77879,70.58417
1.43123,56.61014,70.80404
1.43125,56.35988,70.90202
1.43126,56.18268,70.82316
1.43128,55.97613,70.68658
1.4313,55.86277,70.56777
1.43132,55.71357,70.78491
1.43133,55.52136,70.89007
1.43135,55.37489,70.9884
1.43138,55.20248,71.09526
1.4314,55.13044,71.06112
