Time(hr),MX05,,Time(hr),MX06
0.20285,67.74697,,0.20294,129.37799
0.20287,67.51617,,0.20295,129.60606
0.20288,67.25364,,0.20297,129.86349
0.2029,66.94833,,0.20299,130.15095
0.20292,66.60978,,0.20302,130.49032
0.20295,66.25951,,0.20303,130.85256
0.20296,65.88371,,0.20305,131.26397
0.20298,65.44422,,0.20307,131.7283
0.203,65.33817,,0.20309,132.2295
0.20302,65.29439,,0.2031,132.78907
0.20303,65.19977,,0.20313,133.38041
0.20305,65.07392,,0.20315,134.00725
0.20307,64.92886,,0.20317,134.67642
0.2031,64.77781,,0.20318,135.37153
0.20311,64.6151,,0.2032,136.09397
0.20313,64.45455,,0.20323,136.85054
0.20315,64.30289,,0.20325,137.55556
0.20317,64.15606,,0.20326,138.3555
0.20319,64.02126,,0.20328,138.88196
0.2032,63.89919,,0.2033,138.28278
0.20322,63.79489,,0.20332,138.04448
0.20325,63.71092,,0.20334,137.96014
0.20327,63.6426,,0.20336,137.94444
0.20328,63.59654,,0.20338,137.95024
0.2033,63.58458,,0.2034,137.95468
0.20332,63.60072,,0.20342,137.92669
0.20334,63.6408,,0.20344,137.8625
0.20335,63.70299,,0.20346,137.74643
0.20337,63.78132,,0.20348,137.57333
0.2034,63.887,,0.2035,137.3415
0.20342,64.0064,,0.20351,137.04345
0.20343,64.14641,,0.20353,136.67336
0.20345,64.30761,,0.20356,136.23873
0.20347,64.48351,,0.20358,135.72286
0.20349,64.6801,,0.20359,135.12641
0.20351,64.89396,,0.20361,134.45314
0.20352,65.11989,,0.20363,133.70851
0.20355,65.37082,,0.20366,132.98676
0.20357,65.63877,,0.20367,132.15473
0.20359,65.91806,,0.20369,131.40123
0.2036,66.21901,,0.20371,132.04684
0.20362,66.53764,,0.20373,132.21072
0.20364,66.87674,,0.20374,132.1404
0.20366,67.23307,,0.20377,131.95262
0.20367,67.58979,,0.20379,131.68598
0.2037,67.94205,,0.20381,131.38963
0.20372,68.35374,,0.20382,131.09567
0.20374,68.4565,,0.20384,130.77986
0.20375,68.41902,,0.20387,130.47908
0.20377,68.42166,,0.20389,130.20732
0.20379,68.44015,,0.2039,129.95399
0.20381,68.4682,,0.20392,129.74335
0.20383,68.49277,,0.20394,129.56172
0.20385,68.51766,,0.20396,129.43061
0.20387,68.52878,,0.20398,129.35175
0.20389,68.51929,,0.204,129.3002
0.20391,68.49215,,0.20402,129.29611
0.20392,68.44312,,0.20404,129.34083
0.20394,68.36542,,0.20405,129.41732
0.20396,68.26344,,0.20407,129.54569
0.20398,68.12446,,0.2041,129.70548
0.204,67.95852,,0.20412,129.89906
0.20402,67.76391,,0.20414,130.14453
0.20404,67.5304,,0.20415,130.40059
0.20406,67.26318,,0.20417,130.69626
0.20407,66.95804,,0.20419,131.04314
0.20409,66.61565,,0.20422,131.41459
0.20411,66.27331,,0.20423,131.83385
0.20414,65.88761,,0.20425,132.29271
0.20415,65.44402,,0.20427,132.77888
0.20417,65.40584,,0.20429,133.31865
0.20419,65.36734,,0.20431,133.88438
0.20421,65.27995,,0.20433,134.48697
0.20422,65.16107,,0.20435,135.13087
0.20424,65.02238,,0.20437,135.80857
0.20426,64.87134,,0.20438,136.52213
0.20428,64.7134,,0.2044,137.26299
0.2043,64.55418,,0.20443,137.9465
0.20432,64.40772,,0.20445,138.74747
0.20434,64.26526,,0.20446,139.35246
0.20436,64.13408,,0.20448,138.59521
0.20438,64.01857,,0.2045,138.29851
0.20439,63.9195,,0.20453,138.19574
0.20441,63.83725,,0.20454,138.18448
0.20444,63.7719,,0.20456,138.20598
0.20446,63.72786,,0.20458,138.19813
0.20447,63.71312,,0.2046,138.16843
0.20449,63.72937,,0.20461,138.09912
0.20451,63.76846,,0.20464,137.98133
0.20453,63.83245,,0.20466,137.80481
0.20454,63.9137,,0.20468,137.57299
0.20456,64.02449,,0.20469,137.27015
0.20458,64.1459,,0.20471,136.88913
0.20461,64.28539,,0.20474,136.44665
0.20462,64.4467,,0.20476,135.92634
0.20464,64.62727,,0.20478,135.33501
0.20466,64.82173,,0.20479,134.67847
0.20468,65.03479,,0.20481,133.94784
0.2047,65.26251,,0.20483,133.21688
0.20471,65.514,,0.20486,132.39134
0.20474,65.78173,,0.20487,131.49
0.20476,66.06325,,0.20489,132.06562
0.20478,66.36545,,0.20491,132.321
0.20479,66.68415,,0.20493,132.2855
0.20481,67.02151,,0.20494,132.12401
0.20483,67.37883,,0.20497,131.86078
0.20485,67.73017,,0.20499,131.57229
0.20486,68.08793,,0.20501,131.27423
0.20488,68.49747,,0.20502,130.95466
0.20491,68.55534,,0.20504,130.6566
0.20493,68.53638,,0.20507,130.38245
0.20494,68.54496,,0.20509,130.12877
0.20496,68.56612,,0.2051,129.91675
0.20498,68.59193,,0.20512,129.73342
0.205,68.61375,,0.20514,129.5832
0.20502,68.6325,,0.20516,129.48521
0.20504,68.64016,,0.20518,129.42034
0.20506,68.62622,,0.2052,129.39542
0.20508,68.59637,,0.20522,129.41385
0.2051,68.54338,,0.20524,129.47564
0.20511,68.46307,,0.20525,129.59855
0.20513,68.35504,,0.20527,129.74127
0.20515,68.2166,,0.2053,129.90958
0.20517,68.04821,,0.20532,130.13389
0.20518,67.85019,,0.20533,130.38073
0.20521,67.61125,,0.20535,130.67468
0.20523,67.33743,,0.20537,131.01814
0.20525,67.03053,,0.2054,131.38686
0.20526,66.68404,,0.20541,131.80612
0.20528,66.34517,,0.20543,132.25781
0.2053,65.94854,,0.20545,132.74604
0.20532,65.50421,,0.20547,133.28241
0.20534,65.49459,,0.20549,133.84676
0.20536,65.44175,,0.20551,134.45244
0.20538,65.34168,,0.20553,135.1018
0.2054,65.21381,,0.20555,135.77747
0.20542,65.06691,,0.20557,136.4835
0.20543,64.9119,,0.20558,137.22028
0.20545,64.74949,,0.20561,137.89866
0.20547,64.58766,,0.20563,138.66548
0.20549,64.43849,,0.20565,139.30632
0.20551,64.29243,,0.20566,138.52311
0.20553,64.15883,,0.20568,138.2015
0.20555,64.04163,,0.2057,138.07722
0.20557,63.93954,,0.20573,138.04751
0.20558,63.85499,,0.20574,138.05571
0.2056,63.79158,,0.20576,138.05264
0.20562,63.74406,,0.20578,138.02499
0.20565,63.72323,,0.2058,137.96763
0.20566,63.73368,,0.20582,137.85906
0.20568,63.77101,,0.20584,137.68971
0.2057,63.83929,,0.20586,137.47769
0.20572,63.92612,,0.20588,137.1967
0.20574,64.03536,,0.20589,136.83924
0.20575,64.15912,,0.20591,136.40257
0.20577,64.30194,,0.20594,135.88772
0.2058,64.46669,,0.20596,135.29878
0.20581,64.64686,,0.20597,134.63917
0.20583,64.84239,,0.20599,133.90854
0.20585,65.05896,,0.20601,133.15846
0.20587,65.28929,,0.20604,132.34043
0.20589,65.54378,,0.20605,131.41144
0.2059,65.81096,,0.20607,131.8283
0.20592,66.0934,,0.20609,132.08982
0.20595,66.39713,,0.20611,132.06353
0.20597,66.72074,,0.20613,131.9017
0.20598,67.05785,,0.20615,131.63471
0.206,67.4185,,0.20617,131.33803
0.20602,67.76302,,0.20619,131.0311
0.20604,68.1313,,0.20621,130.70949
0.20605,68.54552,,0.20622,130.41075
0.20607,68.53812,,0.20625,130.1185
0.2061,68.51337,,0.20627,129.85425
0.20612,68.52217,,0.20629,129.62448
0.20613,68.53588,,0.2063,129.42305
0.20615,68.55547,,0.20632,129.25747
0.20617,68.57644,,0.20634,129.14787
0.20619,68.5886,,0.20637,129.08061
0.20621,68.59124,,0.20638,129.0731
0.20622,68.57114,,0.2064,129.07515
0.20625,68.53539,,0.20642,129.14172
0.20627,68.47855,,0.20644,129.2537
0.20629,68.39157,,0.20645,129.37286
0.2063,68.27834,,0.20648,129.52889
0.20632,68.13576,,0.2065,129.73306
0.20634,67.96278,,0.20652,129.95668
0.20636,67.75905,,0.20653,130.22948
0.20637,67.51772,,0.20655,130.54494
0.20639,67.24196,,0.20657,130.89762
0.20642,66.93411,,0.2066,131.30357
0.20644,66.58486,,0.20661,131.74058
0.20645,66.2472,,0.20663,132.22027
0.20647,65.84353,,0.20665,132.75527
0.20649,65.41339,,0.20667,133.31484
0.20651,65.4176,,0.20669,133.91335
0.20653,65.35511,,0.20671,134.54564
0.20655,65.24836,,0.20673,135.20936
0.20657,65.11939,,0.20675,135.91506
0.20659,64.97018,,0.20677,136.63851
0.20661,64.81235,,0.20678,137.32305
0.20662,64.64943,,0.20681,138.07552
0.20664,64.48727,,0.20683,138.86658
0.20666,64.33421,,0.20685,138.15371
0.20668,64.18972,,0.20686,137.74811
0.2067,64.05709,,0.20688,137.59038
0.20672,63.94132,,0.20691,137.54053
0.20674,63.83942,,0.20693,137.5436
0.20676,63.75823,,0.20694,137.55111
0.20677,63.69775,,0.20696,137.53199
0.20679,63.65477,,0.20698,137.48692
0.20681,63.63779,,0.207,137.39338
0.20683,63.64468,,0.20702,137.23223
0.20685,63.68444,,0.20704,137.01134
0.20687,63.75477,,0.20706,136.71977
0.20689,63.84627,,0.20708,136.36402
0.20691,63.95723,,0.20709,135.94066
0.20693,64.08884,,0.20712,135.43845
0.20694,64.23508,,0.20714,134.86487
0.20696,64.40479,,0.20716,134.22369
0.20698,64.58708,,0.20717,133.51355
0.207,64.78682,,0.20719,132.77303
0.20702,65.00706,,0.20721,131.97549
0.20704,65.24201,,0.20724,131.05435
0.20706,65.49302,,0.20725,131.32952
0.20708,65.76463,,0.20727,131.63919
0.20709,66.04956,,0.20729,131.63544
0.20711,66.35569,,0.20731,131.47088
0.20713,66.68045,,0.20733,131.20595
0.20716,67.01814,,0.20735,130.90927
0.20717,67.37879,,0.20737,130.59482
0.20719,67.7165,,0.20739,130.27354
0.20721,68.09159,,0.20741,129.97242
0.20723,68.50249,,0.20742,129.6805
0.20724,68.46314,,0.20745,129.40805
0.20726,68.44872,,0.20747,129.16803
0.20728,68.47006,,0.20749,128.96762
0.20731,68.49254,,0.2075,128.82662
0.20732,68.51891,,0.20752,128.72693
0.20734,68.54161,,0.20754,128.66616
0.20736,68.55335,,0.20757,128.66719
0.20738,68.55239,,0.20758,128.69314
0.2074,68.53155,,0.2076,128.75868
0.20741,68.4936,,0.20762,128.86316
0.20743,68.43321,,0.20764,128.97002
0.20746,68.3427,,0.20766,129.11547
0.20748,68.22848,,0.20768,129.31724
0.20749,68.08678,,0.2077,129.55623
0.20751,67.91033,,0.20772,129.85496
0.20753,67.70556,,0.20773,130.18716
0.20755,67.46215,,0.20775,130.56271
0.20756,67.18462,,0.20778,130.98982
0.20758,66.87444,,0.2078,131.44493
0.20761,66.51848,,0.20781,131.91676
0.20763,66.17671,,0.20783,132.42751
0.20764,65.7715,,0.20785,132.97242
0.20766,65.3762,,0.20787,133.56681
0.20768,65.39296,,0.20789,134.19023
0.2077,65.33228,,0.20791,134.85086
0.20772,65.22696,,0.20793,135.55588
0.20773,65.09847,,0.20795,136.28104
0.20776,64.94877,,0.20797,136.99323
0.20778,64.78958,,0.20799,137.74672
0.2078,64.62519,,0.20801,138.57295
0.20781,64.46538,,0.20803,138.0325
0.20783,64.31129,,0.20805,137.60265
0.20785,64.16681,,0.20806,137.44184
0.20787,64.03231,,0.20808,137.39267
0.20788,63.92006,,0.20811,137.39814
0.20791,63.81687,,0.20813,137.41384
0.20793,63.73528,,0.20814,137.41111
0.20795,63.6743,,0.20816,137.37492
0.20796,63.63278,,0.20818,137.28923
0.20798,63.61544,,0.20821,137.1472
0.208,63.62104,,0.20822,136.95021
0.20802,63.6532,,0.20824,136.68151
0.20804,63.72313,,0.20826,136.33702
0.20806,63.81652,,0.20828,135.92596
0.20808,63.92636,,0.20829,135.43261
0.2081,64.05991,,0.20832,134.86621
0.20811,64.20939,,0.20834,134.22606
0.20813,64.37822,,0.20836,133.53094
0.20815,64.56432,,0.20837,132.79178
0.20817,64.76523,,0.20839,132.02257
0.20819,64.98536,,0.20842,131.13149
0.20821,65.22078,,0.20844,131.32267
0.20823,65.47326,,0.20845,131.63506
0.20825,65.74374,,0.20847,131.64189
0.20827,66.03251,,0.20849,131.4985
0.20828,66.34125,,0.20851,131.252
0.2083,66.66552,,0.20853,130.97444
0.20832,67.0048,,0.20855,130.66921
0.20835,67.3678,,0.20857,130.36126
0.20836,67.70671,,0.20859,130.0714
0.20838,68.08526,,0.20861,129.78665
0.2084,68.48211,,0.20863,129.52991
0.20842,68.42887,,0.20865,129.30867
0.20843,68.42503,,0.20867,129.1185
0.20845,68.45081,,0.20869,128.97784
0.20847,68.48437,,0.2087,128.86279
0.20849,68.51803,,0.20872,128.80237
0.20851,68.54395,,0.20875,128.7952
0.20853,68.55528,,0.20877,128.815
0.20855,68.55407,,0.20878,128.86826
0.20857,68.53584,,0.2088,128.96385
0.20859,68.49628,,0.20882,129.07345
0.2086,68.43328,,0.20884,129.23801
0.20862,68.3415,,0.20886,129.44593
0.20865,68.22503,,0.20888,129.68629
0.20867,68.07824,,0.2089,129.97478
0.20868,67.8972,,0.20892,130.29878
0.2087,67.68701,,0.20893,130.65932
0.20872,67.4408,,0.20895,131.06833
0.20874,67.15789,,0.20898,131.505
0.20875,66.84136,,0.209,131.98775
0.20877,66.48217,,0.20901,132.51796
0.20879,66.13446,,0.20903,133.07651
0.20882,65.7283,,0.20905,133.68013
0.20883,65.37226,,0.20908,134.30969
0.20885,65.37677,,0.20909,134.97306
0.20887,65.30802,,0.20911,135.67876
0.20889,65.19937,,0.20913,136.4087
0.20891,65.06581,,0.20915,137.14036
0.20892,64.91235,,0.20917,137.88771
0.20895,64.75129,,0.20919,138.73066
0.20897,64.59089,,0.20921,138.36946
0.20899,64.43053,,0.20923,137.9222
0.209,64.27681,,0.20925,137.76173
0.20902,64.13431,,0.20926,137.71633
0.20904,64.00344,,0.20929,137.7252
0.20906,63.89177,,0.20931,137.73817
0.20907,63.79306,,0.20933,137.73202
0.20909,63.71327,,0.20934,137.69583
0.20912,63.65735,,0.20936,137.61252
0.20914,63.6205,,0.20938,137.47289
0.20915,63.60476,,0.20941,137.28512
0.20917,63.61617,,0.20942,137.04169
0.20919,63.6487,,0.20944,136.71735
0.20921,63.71995,,0.20946,136.30457
0.20922,63.8143,,0.20948,135.82762
0.20925,63.93018,,0.2095,135.27692
0.20927,64.07085,,0.20952,134.64769
0.20929,64.22963,,0.20954,133.95804
0.2093,64.40257,,0.20956,133.21718
0.20932,64.59663,,0.20957,132.47255
0.20934,64.80287,,0.20959,131.59751
0.20936,65.0303,,0.20962,131.47972
0.20938,65.27169,,0.20964,131.80475
0.20939,65.52699,,0.20965,131.81567
0.20942,65.80349,,0.20967,131.65999
0.20944,66.09523,,0.20969,131.40495
0.20946,66.40524,,0.20972,131.10963
0.20947,66.73292,,0.20973,130.78563
0.20949,67.07436,,0.20975,130.4589
0.20951,67.44033,,0.20977,130.1547
0.20953,67.77956,,0.20979,129.8645
0.20955,68.16123,,0.2098,129.60127
0.20957,68.52295,,0.20983,129.36979
0.20959,68.4561,,0.20985,129.17109
0.20961,68.44902,,0.20987,129.0236
0.20962,68.47432,,0.20988,128.90445
0.20964,68.50835,,0.2099,128.83412
0.20966,68.5444,,0.20992,128.81773
0.20968,68.57223,,0.20995,128.8249
0.2097,68.58147,,0.20997,128.86416
0.20972,68.57645,,0.20998,128.93381
0.20974,68.55617,,0.21,129.02941
0.20976,68.51201,,0.21002,129.18168
0.20978,68.44546,,0.21004,129.37834
0.20979,68.34817,,0.21006,129.61835
0.20981,68.2284,,0.21008,129.90206
0.20983,68.07934,,0.2101,130.24176
0.20986,67.8951,,0.21012,130.64019
0.20987,67.68076,,0.21013,131.0649
0.20989,67.43416,,0.21016,131.51386
0.20991,67.14868,,0.21018,132.00754
0.20993,66.82954,,0.2102,132.52752
0.20994,66.46992,,0.21021,133.08813
0.20996,66.12075,,0.21023,133.69891
0.20998,65.71316,,0.21025,134.33531
0.21001,65.40857,,0.21028,135.00789
0.21002,65.41488,,0.21029,135.72145
0.21004,65.35207,,0.21031,136.44387
0.21006,65.24565,,0.21033,137.16869
0.21008,65.11368,,0.21035,137.88054
0.2101,64.96524,,0.21037,138.70403
0.21011,64.80898,,0.21039,138.42715
0.21013,64.65284,,0.21041,137.98468
0.21016,64.49757,,0.21043,137.81978
0.21018,64.3455,,0.21044,137.77131
0.21019,64.20579,,0.21046,137.77882
0.21021,64.07961,,0.21049,137.79179
0.21023,63.96924,,0.21051,137.78257
0.21025,63.87359,,0.21052,137.73921
0.21026,63.79523,,0.21054,137.6484
0.21028,63.74293,,0.21056,137.50023
0.21031,63.70641,,0.21059,137.29334
0.21033,63.69339,,0.2106,137.02361
0.21034,63.70633,,0.21062,136.68425
0.21036,63.7408,,0.21064,136.27181
0.21038,63.80259,,0.21066,135.79758
0.2104,63.89324,,0.21068,135.24858
0.21041,64.00864,,0.2107,134.62448
0.21043,64.15067,,0.21072,133.93687
0.21046,64.30938,,0.21074,133.19942
0.21048,64.48309,,0.21076,132.47391
0.21049,64.67605,,0.21077,131.62823
0.21051,64.88522,,0.2108,131.26496
0.21053,65.11294,,0.21082,131.7665
0.21055,65.35382,,0.21084,131.84707
0.21057,65.61121,,0.21085,131.72075
0.21058,65.89078,,0.21087,131.49235
0.21061,66.18601,,0.21089,131.21375
0.21063,66.49617,,0.21092,130.90034
0.21065,66.82441,,0.21093,130.58931
0.21066,67.17021,,0.21095,130.28477
0.21068,67.53672,,0.21097,129.98229
0.2107,67.87673,,0.21099,129.70984
0.21072,68.25968,,0.21101,129.46266
0.21073,68.5749,,0.21103,129.25338
0.21076,68.51857,,0.21105,129.09223
0.21078,68.51505,,0.21107,128.95805
0.2108,68.54135,,0.21108,128.87474
0.21081,68.57832,,0.2111,128.84572
0.21083,68.61844,,0.21113,128.82967
0.21085,68.6484,,0.21115,128.86587
0.21087,68.65728,,0.21116,128.92664
0.21089,68.64987,,0.21118,129.02327
0.21091,68.62486,,0.2112,129.16905
0.21093,68.57469,,0.21122,129.35546
0.21095,68.5015,,0.21124,129.59206
0.21097,68.40259,,0.21126,129.88567
0.21098,68.27582,,0.21128,130.20763
0.211,68.1221,,0.2113,130.57329
0.21102,67.93233,,0.21132,130.97343
0.21104,67.71396,,0.21133,131.42238
0.21106,67.46358,,0.21136,131.91094
0.21108,67.17282,,0.21138,132.41657
0.2111,66.84784,,0.2114,132.96386
0.21112,66.48583,,0.21141,133.55519
0.21113,66.13222,,0.21143,134.17656
0.21115,65.7152,,0.21146,134.84438
0.21117,65.45263,,0.21148,135.54188
0.21119,65.4493,,0.21149,136.26227
0.21121,65.37874,,0.21151,137.00654
0.21123,65.26356,,0.21153,137.71053
0.21125,65.1273,,0.21155,138.52925
0.21127,64.97581,,0.21157,138.58149
0.21129,64.81535,,0.21159,138.14276
0.2113,64.6556,,0.21161,137.98538
0.21132,64.49727,,0.21163,137.95499
0.21134,64.34447,,0.21165,137.98026
0.21137,64.20538,,0.21167,138.00654
0.21138,64.08055,,0.21169,138.0103
0.2114,63.96999,,0.21171,137.98845
0.21142,63.87761,,0.21172,137.92699
