Time (hr),mz128,mz139,mz245,mz267,mz318,mz386,mz408
0.22,764375,53123,150931,83753,118523,4583,5632
0.28,933069,68338,153507,104932,131624,7056,9119
0.34,962737,342404,167736,102923,133841,9642,10161
0.4,663547,1.05E+06,169319,91806,124191,7691,8879
0.46,1.15E+06,1.07E+07,132716,96188,127567,6746,7583
0.52,2.10E+06,3.72E+07,122088,77066,133856,6673,7700
0.58,2.85E+06,5.66E+07,121011,78204,135351,10658,7403
0.64,3.32E+06,6.78E+07,125709,69941,120252,9119,5528
0.7,3.61E+06,7.60E+07,115986,71515,141764,7622,4679
