Time (hr),mz128,mz139,mz245,mz267,mz318,mz386,mz408
3.64,3.89E+06,7.62E+07,1.07E+05,7.65E+04,7.23E+04,3.10E+06,1.17E+07
3.7,4.19E+06,8.50E+07,112650,9.35E+04,7.28E+04,3.59E+06,1.23E+07
3.76,4.52E+06,8.53E+07,104158,99930,6.89E+04,3.49E+06,1.14E+07
3.82,4.29E+06,8.14E+07,120613,98300,7.52E+04,3.66E+06,1.30E+07
3.88,3.95E+06,7.36E+07,103948,96531,71103,3.21E+06,1.21E+07
3.94,3.93E+06,7.18E+07,111351,75824,73092,3.19E+06,1.19E+07
4,4.03E+06,7.38E+07,118342,118384,80421,3.29E+06,1.20E+07
4.06,4.69E+06,9.02E+07,99849,118160,55161,3.92E+06,1.36E+07
4.12,4.09E+06,7.31E+07,106006,86345,63723,3.23E+06,1.22E+07
4.18,3.73E+06,6.66E+07,94249,82925,68200,2.93E+06,1.12E+07
4.24,3.92E+06,7.22E+07,99785,94220,70249,3.26E+06,1.22E+07
4.3,4.05E+06,7.51E+07,97075,91903,61599,3.42E+06,1.22E+07
