,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
1.03639,11.28325,102.78132,126,146,75.51744
1.03667,13.21855,102.07907,126,146,75.4976
1.03694,15.08642,100.9339,126,146,75.47427
1.03722,16.10465,99.31893,126,146,75.41596
1.0375,16.28238,97.56807,126,146,75.48336
1.03778,15.60593,95.87673,128,145,75.47918
1.03806,13.85281,95.1145,128,145,75.46429
1.03833,11.65368,94.8225,128,145,75.46017
1.03861,9.8108,95.46959,128,145,75.45514
1.03889,8.34721,96.89263,128,145,75.54844
1.03917,7.92849,98.68529,128,145,75.56285
1.03944,8.79439,100.32466,128,145,75.64282
1.03972,10.49901,102.07662,128,145,75.63907
1.04,12.49084,102.8728,128,145,75.60033
1.04028,14.51248,102.79872,128,145,75.59623
1.04056,15.93312,102.06512,128,145,75.57301
1.04083,16.0161,100.49127,128,145,75.56995
1.04111,15.24469,98.84454,128,145,75.54957
1.04139,13.4876,97.40162,128,145,75.53263
1.04167,11.36403,96.05913,128,145,75.47116
1.04194,9.31219,95.4164,128,145,75.52296
1.04222,8.29407,95.64645,113,144,75.50692
1.0425,7.88258,96.6354,113,144,75.50368
1.04278,9.08264,98.54291,113,144,75.45891
1.04306,10.8406,100.37991,113,144,75.4583
1.04333,13.10869,102.0994,113,144,75.47133
1.04361,15.1535,102.81925,113,144,75.46644
1.04389,16.53786,103.0339,113,144,75.48863
1.04417,16.53694,102.14375,113,144,75.48601
1.04444,15.29176,100.53312,132,144,75.44585
1.04472,13.37425,98.62384,132,144,75.4148
1.045,10.84479,96.73789,132,144,75.41164
1.04528,8.78095,95.27869,132,144,75.43938
1.04556,7.87857,94.88312,132,144,75.43921
1.04583,8.01308,95.32041,132,144,75.45633
1.04611,9.14098,96.45573,132,144,75.45094
1.04639,11.32966,98.34348,132,144,75.60984
1.04667,13.76404,100.39159,128,145,75.60339
1.04694,15.46046,101.8578,128,145,75.59878
1.04722,16.4437,102.83669,128,145,75.5641
1.0475,16.17236,102.87148,128,145,75.55881
1.04778,14.58642,101.79365,128,145,75.51553
1.04806,12.38821,100.18171,128,145,75.51167
1.04833,10.15537,98.2316,128,145,75.52183
1.04861,8.42393,96.41005,128,145,75.54234
1.04889,7.79835,95.23608,127,143,75.55278
1.04917,8.79863,95.50232,127,143,75.4862
1.04944,10.25914,95.73057,127,143,75.48171
1.04972,12.37336,97.11241,127,143,75.54916
1.05,14.36405,98.80102,127,143,75.54447
1.05028,15.70346,100.24286,127,143,75.54057
1.05056,16.06242,101.76944,127,143,75.5389
1.05083,15.50367,102.19699,127,143,75.5361
1.05111,13.92207,101.64672,127,139,75.51906
1.05139,11.63841,100.51691,127,139,75.51466
1.05167,9.51066,99.07349,127,139,75.49021
1.05194,8.23473,97.83525,127,139,75.45931
1.05222,7.80717,96.34402,127,139,75.41849
1.0525,8.91712,95.53015,127,139,75.39701
1.05278,10.97079,95.23896,127,139,75.393
1.05306,13.36207,95.95388,127,139,75.393
1.05333,15.27794,97.65908,123,144,75.37016
1.05361,16.4282,99.69412,123,144,75.37312
1.05389,16.20174,101.44482,123,144,75.38248
1.05417,14.845,102.61043,123,144,75.37917
1.05444,12.68817,102.99613,123,144,75.37015
1.05472,10.3591,101.99896,123,144,75.367
1.055,8.38775,100.66422,123,144,75.35446
1.05528,7.86585,98.91822,123,144,75.34717
1.05556,8.46547,96.95645,120,144,75.34346
1.05583,9.972,95.61323,120,144,75.32632
1.05611,12.26125,95.08414,120,144,75.32201
1.05639,14.26516,95.11635,120,144,75.37176
1.05667,15.68635,96.49934,120,144,75.37766
1.05694,16.15549,98.26421,120,144,75.367
1.05722,15.60155,100.26391,120,144,75.36197
1.0575,13.80008,101.72749,120,144,75.31883
1.05778,11.49259,102.97212,118,142,75.28982
1.05806,9.58763,103.00706,118,142,75.4976
1.05833,8.05707,102.19048,118,142,75.49487
1.05861,7.71924,100.79755,118,142,75.468
1.05889,8.86513,98.69521,118,142,75.48628
1.05917,10.38723,96.83586,118,142,75.48362
1.05944,12.54159,95.67339,118,142,75.46259
1.05972,14.7031,95.06177,118,142,75.45847
1.06,16.0189,95.47049,129,150,75.43765
1.06028,16.1251,96.7788,129,150,75.40958
1.06056,15.23991,98.3577,129,150,75.37528
1.06083,13.14037,100.19276,129,150,75.33524
1.06111,10.83729,101.70159,129,150,75.34207
1.06139,8.81006,102.68066,129,150,75.33478
1.06167,7.9367,102.57211,129,150,75.34389
1.06194,8.12569,101.78286,129,150,75.33682
1.06222,9.76934,100.00444,125,144,75.31758
1.0625,12.00691,98.02599,125,144,75.33979
1.06278,14.30658,96.18202,125,144,75.45261
1.06306,15.86157,95.11979,125,144,75.44836
1.06333,16.41977,94.75031,125,144,75.40877
1.06361,15.67644,95.51752,125,144,75.408
1.06389,13.90127,97.04266,125,144,75.40418
1.06417,11.62483,98.89426,125,144,75.38142
1.06444,9.71603,100.6142,127,142,75.37566
1.06472,8.1579,102.14552,127,142,75.35422
1.065,8.1532,102.64889,127,142,75.33053
1.06528,9.10659,102.24013,127,142,75.30097
1.06556,10.6425,101.38019,127,142,75.37028
1.06583,12.87237,99.61121,127,142,75.38007
1.06611,14.85633,97.61684,127,142,75.42664
1.06639,15.70376,96.3321,127,142,75.42226
1.06667,15.77387,95.43805,121,142,75.40474
1.06694,14.7683,95.34749,121,142,75.41158
1.06722,12.72349,96.50224,121,142,75.4066
1.0675,10.51661,98.08746,121,142,75.38049
1.06778,8.92997,99.89279,121,142,75.37756
1.06806,8.12707,101.4827,121,142,75.37437
1.06833,8.60033,102.4547,121,142,75.52756
1.06861,10.31545,102.23739,121,142,75.48559
1.06889,12.47439,101.40075,118,142,75.48132
1.06917,14.59391,99.81464,118,142,75.45583
1.06944,16.042,97.85831,118,142,75.45022
1.06972,16.4928,96.08845,118,142,75.44674
1.07,15.57808,95.01801,118,142,75.64153
1.07028,13.59639,94.55624,118,142,75.58256
1.07056,11.32066,95.28918,118,142,75.57828
1.07083,9.17556,96.77084,118,142,75.58907
1.07111,7.84562,98.60341,130,143,75.58559
1.07139,7.86441,100.34644,130,143,75.55775
1.07167,9.05029,101.90147,130,143,75.54018
1.07194,11.32994,102.21557,130,143,75.53499
1.07222,13.62175,101.63483,130,143,75.48816
1.0725,15.62063,100.32549,130,143,75.4298
1.07278,16.31334,98.42055,130,143,75.43757
1.07306,15.79955,96.56006,130,143,75.43199
1.07333,14.04041,95.27351,130,143,75.53234
1.07361,12.00121,94.77055,130,143,75.52868
1.07389,10.02355,94.97203,130,143,75.61053
1.07417,8.80616,96.25342,130,143,75.63448
1.07444,8.16021,97.78962,130,143,75.63086
1.07472,8.63695,99.38007,130,143,75.55164
1.075,9.54961,100.94222,130,143,75.54663
1.07528,11.40575,102.1228,130,143,75.52181
1.07556,13.375,102.11423,128,144,75.51102
1.07583,15.41678,101.94057,128,144,75.50775
1.07611,16.38259,100.68913,128,144,75.58436
1.07639,16.14774,98.98093,128,144,75.58015
1.07667,15.06504,97.53052,128,144,75.6796
1.07694,12.89336,96.00108,128,144,75.67467
1.07722,10.67839,94.60169,128,144,75.66565
1.0775,9.10358,94.3539,128,144,75.67452
1.07778,8.21067,94.72311,126,144,75.66872
1.07806,8.11492,95.71033,126,144,75.60619
1.07833,9.24635,97.32021,126,144,75.60201
1.07861,10.80565,98.9814,126,144,75.61794
1.07889,12.69038,100.39526,126,144,75.62756
1.07917,14.37756,101.37891,126,144,75.62266
1.07944,15.6769,101.9429,126,144,75.60368
1.07972,15.82692,101.4772,126,144,75.7121
1.08,15.3587,100.64507,126,142,75.69288
1.08028,14.19981,99.49985,126,142,75.68756
1.08056,12.40815,98.1934,126,142,75.70286
1.08083,10.34676,96.79806,126,142,75.6786
1.08111,9.14463,96.24202,126,142,75.79495
1.08139,8.112,95.71428,126,142,75.65128
1.08167,8.7342,96.41235,126,142,75.66229
1.08194,10.47567,97.79432,126,142,75.64416
1.08222,12.50244,99.46205,131,145,75.63934
1.0825,14.61937,101.38518,131,145,75.62151
1.08278,15.98832,102.88156,131,145,75.61751
1.08306,15.86389,103.17415,131,145,75.55853
1.08333,14.66592,102.66728,131,145,75.51015
1.08361,12.83803,101.43707,131,145,75.50502
1.08389,10.66414,99.5012,131,145,75.49806
1.08417,8.89626,97.60808,131,145,75.49404
1.08444,8.30585,96.37753,120,142,75.46326
1.08472,8.91909,95.99411,120,142,75.46014
1.085,10.48746,96.377,120,142,75.54433
1.08528,12.72946,97.73673,120,142,75.52177
1.08556,14.97407,99.56899,120,142,75.51837
1.08583,16.03617,101.30882,120,142,75.50756
1.08611,16.19246,102.88502,120,142,75.5042
1.08639,15.19447,103.86768,120,142,75.47784
1.08667,13.0489,103.37275,117,142,75.46933
1.08694,10.66797,102.00818,117,142,75.44489
1.08722,8.88202,99.9708,117,142,75.41357
1.0875,8.27587,97.85098,117,142,75.40129
1.08778,8.82549,96.27434,117,142,75.39811
1.08806,10.67395,95.79372,117,142,75.39051
1.08833,12.92563,96.14062,117,142,75.38706
1.08861,14.75336,97.39501,117,142,75.36315
1.08889,16.04681,99.19559,131,146,75.36011
1.08917,16.21541,101.1573,131,146,75.31396
1.08944,14.86747,102.52604,131,146,75.29391
1.08972,12.72153,103.3047,131,146,75.28928
1.09,10.39381,102.7842,131,146,75.37113
1.09028,8.61299,101.35605,131,146,75.36833
1.09056,7.7637,99.67887,131,146,75.41019
1.09083,8.54544,97.82501,131,146,75.42517
1.09111,10.2976,96.29652,127,145,75.44245
1.09139,12.47929,95.8775,127,145,75.42476
1.09167,14.49865,96.02863,127,145,75.42079
1.09194,15.80592,97.23637,127,145,75.47225
1.09222,15.72704,99.19788,127,145,75.46832
1.0925,14.65883,101.1179,127,145,75.53813
1.09278,12.86886,102.52125,127,145,75.5287
1.09306,10.49484,103.42474,127,145,75.52522
1.09333,8.4931,103.36908,127,146,75.51503
1.09361,7.753,102.19945,127,146,75.51163
1.09389,8.28574,100.72045,127,146,75.48958
1.09417,10.12134,98.75021,127,146,75.48692
1.09444,12.68662,96.89379,127,146,75.47231
1.09472,15.03209,95.6851,127,146,75.45479
1.095,16.10013,95.64655,127,146,75.43193
1.09528,16.1514,96.6026,127,146,75.52344
1.09556,14.90737,98.34706,130,143,75.52006
1.09583,12.77573,100.43188,130,143,75.57011
1.09611,10.57431,102.17872,130,143,75.60133
1.09639,8.74537,103.19371,130,143,75.61259
1.09667,7.43783,103.73283,130,143,75.59704
1.09694,7.76368,102.97942,130,143,75.59154
1.09722,9.20515,101.46169,130,143,75.62974
1.0975,11.52301,99.39806,130,143,75.63757
1.09778,13.85287,97.58684,122,145,75.64831
1.09806,15.59297,96.16862,122,145,75.59975
1.09833,16.09641,95.76135,122,145,75.59441
1.09861,15.32987,96.34873,122,145,75.60986
1.09889,13.83072,97.40942,122,145,75.60545
1.09917,11.79306,99.12706,122,145,75.60755
1.09944,9.51356,101.06209,122,145,75.63744
1.09972,8.53517,102.18313,122,145,75.63354
1.1,8.30918,102.98537,117,145,75.66764
1.10028,9.18349,102.8196,117,145,75.66267
1.10056,11.29654,101.58848,117,145,75.64362
1.10083,13.51543,100.02773,117,145,75.63824
1.10111,15.21445,98.24474,117,145,75.61317
1.10139,16.22622,96.61274,117,145,75.59501
1.10167,16.02643,95.71936,117,145,75.57291
1.10194,14.37124,95.88886,117,145,75.70172
1.10222,12.23356,96.70156,142,144,75.62135
1.1025,10.06765,98.45045,142,144,75.61591
1.10278,8.47851,100.34737,142,144,75.62936
1.10306,8.05265,102.07575,142,144,75.61613
1.10333,9.07264,102.95046,142,144,75.61123
1.10361,10.94542,103.15576,142,144,75.65881
1.10389,13.26221,102.11254,142,144,75.65437
1.10417,15.23713,100.39278,142,144,75.62027
1.10444,16.23835,98.39723,124,142,75.61565
1.10472,15.72217,96.62118,124,142,75.64985
1.105,14.09727,95.529,124,142,75.58897
1.10528,11.76787,95.67787,124,142,75.58415
1.10556,9.55874,96.75498,124,142,75.61182
1.10583,8.14936,98.61974,124,142,75.60812
1.10611,8.19429,100.5005,124,142,75.5854
1.10639,9.42017,102.28712,124,142,75.58123
1.10667,11.52964,102.91408,125,143,75.56567
1.10694,13.9167,102.70267,125,143,75.51705
1.10722,15.62493,101.70623,125,143,75.46744
1.1075,16.0034,99.81991,125,143,75.47222
1.10778,15.30282,97.80105,125,143,75.52284
1.10806,13.31559,96.33501,125,143,75.51872
1.10833,10.91074,95.67622,125,143,75.51063
1.10861,8.93027,95.98286,125,143,75.47128
1.10889,8.17688,97.44703,123,142,75.46737
1.10917,8.59329,99.41426,123,142,75.46254
1.10944,10.26448,101.30799,123,142,75.45953
1.10972,12.56212,102.73444,123,142,75.4612
1.11,14.66253,103.27692,123,142,75.45961
1.11028,15.79638,102.59666,123,142,75.45476
1.11056,15.95453,101.22166,123,142,75.6124
1.11083,14.76716,99.33682,123,142,75.62777
1.11111,12.59914,97.41975,124,145,75.60387
1.11139,10.41304,95.98772,124,145,75.59939
1.11167,8.73824,95.73595,124,145,75.57925
1.11194,7.93095,96.14727,124,145,75.55364
1.11222,8.65574,97.65836,124,145,75.52214
1.1125,10.39341,99.53155,124,145,75.54806
1.11278,12.50627,101.30475,124,145,75.54476
1.11306,14.50968,102.57069,124,145,75.626
1.11333,15.90388,103.28695,126,145,75.60363
1.11361,15.85092,102.74095,126,145,75.59895
1.11389,14.78456,101.55261,126,145,75.58314
1.11417,13.05677,99.97584,126,145,75.57904
1.11444,10.97439,98.25728,126,145,75.63472
1.11472,9.09715,96.61252,126,145,75.62257
1.115,8.25517,95.84236,126,145,75.61863
1.11528,8.501,95.87571,126,145,75.51115
1.11556,9.75506,96.73392,127,145,75.50661
1.11583,11.92693,98.54916,127,145,75.65116
1.11611,14.29263,100.60986,127,145,75.6471
1.11639,15.6283,102.10948,127,145,75.64107
1.11667,16.03323,103.0929,127,145,75.63759
1.11694,15.24268,103.19709,127,145,75.63199
1.11722,13.32029,102.14141,127,145,75.60301
1.1175,11.04255,100.56599,127,145,75.59843
1.11778,9.22557,98.67893,122,143,75.63792
1.11806,8.139,96.97301,122,143,75.62149
1.11833,8.2602,95.80958,122,143,75.61812
1.11861,9.74002,95.81928,122,143,75.68542
1.11889,11.84184,96.46,122,143,75.6797
1.11917,13.93552,98.03045,122,143,75.74051
1.11944,15.5041,99.85686,122,143,75.62865
1.11972,16.06019,101.62347,122,143,75.62341
1.12,15.17463,102.72373,127,144,75.59409
1.12028,13.47903,103.23138,127,144,75.60078
1.12056,11.3823,102.57847,127,144,75.64253
1.12083,9.28397,101.10237,127,144,75.61352
1.12111,8.04542,99.29126,127,144,75.60814
1.12139,8.17244,97.48746,127,144,75.56991
1.12167,9.26819,95.95039,127,144,75.56552
1.12194,11.35655,95.52959,127,144,75.5376
1.12222,13.64161,95.95212,128,142,75.53313
1.1225,15.46762,97.1729,128,142,75.50754
1.12278,16.17103,99.07386,128,142,75.47799
1.12306,15.90959,101.10214,128,142,75.47266
1.12333,14.33671,102.40025,128,142,75.4529
1.12361,12.27852,103.26067,128,142,75.4475
1.12389,10.11671,103.14685,128,142,75.42699
1.12417,8.73933,101.91611,128,142,75.40068
1.12444,8.0849,100.41627,129,142,75.36705
1.12472,8.85261,98.6571,129,142,75.35708
1.125,10.48118,97.10159,129,142,75.36372
1.12528,12.53379,96.07012,129,142,75.35481
1.12556,14.38019,96.03242,129,142,75.35758
1.12583,15.71149,96.68783,129,142,75.35126
1.12611,15.72225,98.18075,129,142,75.33486
1.12639,14.66101,100.06308,129,142,75.26394
1.12667,12.76583,101.84101,131,144,75.33568
1.12694,10.57213,102.8134,131,144,75.33147
1.12722,8.72769,103.29294,131,144,75.33925
1.1275,8.03351,102.55479,131,144,75.33182
1.12778,8.62549,101.05856,131,144,75.32768
1.12806,10.0608,99.24781,131,144,75.30151
1.12833,12.3339,97.48996,131,144,75.29729
1.12861,14.56526,95.97109,131,144,75.23902
1.12889,15.81197,95.54858,123,144,75.23467
1.12917,16.06378,95.85985,123,144,75.27031
1.12944,15.03338,97.05608,123,144,75.31457
1.12972,13.03983,98.86659,123,144,75.31085
1.13,10.69424,100.79142,123,144,75.36207
1.13028,8.96357,102.05669,123,144,75.35838
1.13056,8.06008,102.63906,123,144,75.33339
1.13083,8.33931,102.34126,123,144,75.3305
1.13111,9.86441,101.03276,120,144,75.32323
1.13139,12.02282,99.2376,120,144,75.3108
1.13167,14.13088,97.40814,120,144,75.32268
1.13194,15.72025,95.77568,120,144,75.30184
1.13222,16.33371,94.80776,120,144,75.29904
1.1325,15.36848,95.16017,120,144,75.28121
1.13278,13.51294,96.11482,120,144,75.46829
1.13306,11.11125,97.96428,120,144,75.46569
1.13333,8.99495,99.99249,125,145,75.50081
1.13361,7.86888,101.69844,125,145,75.48463
1.13389,8.3452,102.42701,125,145,75.48102
1.13417,9.88797,102.5131,125,145,75.44883
1.13444,12.09109,101.40859,125,145,75.44649
1.13472,14.28979,99.73226,125,145,75.44203
1.135,15.69548,97.88457,125,145,75.50919
1.13528,15.85185,96.31789,125,145,75.50582
1.13556,14.93836,95.24575,126,144,75.51137
1.13583,13.0392,95.37963,126,144,75.50136
1.13611,10.7123,96.53111,126,144,75.49681
