Time(hr),MX05,,Time(hr),MX06
2.5,66.87482,,2.5,137.35241
2.50002,67.23983,,2.50002,137.23428
2.50004,67.59044,,2.50004,137.22506
2.50006,67.96125,,2.50006,137.24043
2.50008,68.37214,,2.50007,137.24657
2.5001,68.40488,,2.50009,137.21687
2.50012,68.41288,,2.50012,137.15269
2.50014,68.45193,,2.50014,137.04345
2.50015,68.49799,,2.50015,136.88161
2.50017,68.54859,,2.50017,136.67711
2.50019,68.59646,,2.50019,136.41149
2.50021,68.63434,,2.50022,136.05915
2.50023,68.65761,,2.50023,135.64706
2.50025,68.65809,,2.50025,135.12436
2.50027,68.64086,,2.50027,134.52313
2.50029,68.60317,,2.50029,133.86488
2.50031,68.53434,,2.5003,133.13118
2.50032,68.44131,,2.50033,132.39952
2.50034,68.31916,,2.50035,131.54565
2.50037,68.16474,,2.50037,130.70168
2.50038,67.98242,,2.50038,131.95603
2.5004,67.75872,,2.5004,132.29028
2.50042,67.49682,,2.50042,132.25546
2.50044,67.19195,,2.50045,132.07622
2.50046,66.84072,,2.50046,131.79455
2.50047,66.50163,,2.50048,131.50094
2.50049,66.09903,,2.5005,131.24932
2.50051,65.70269,,2.50052,130.93761
2.50054,65.69536,,2.50054,130.62556
2.50055,65.62073,,2.50056,130.32308
2.50057,65.50804,,2.50058,130.03117
2.50059,65.37569,,2.5006,129.76384
2.50061,65.22399,,2.50062,129.52246
2.50062,65.06638,,2.50063,129.33844
2.50064,64.90349,,2.50066,129.2285
2.50067,64.74449,,2.50068,129.12984
2.50069,64.58923,,2.5007,129.08273
2.5007,64.43892,,2.50071,129.10732
2.50072,64.29983,,2.50073,129.20531
2.50074,64.17753,,2.50075,129.33436
2.50076,64.06694,,2.50078,129.45897
2.50078,63.97431,,2.50079,129.62627
2.50079,63.90237,,2.50081,129.87994
2.50082,63.84802,,2.50083,130.15034
2.50084,63.81868,,2.50085,130.46785
2.50086,63.81601,,2.50087,130.83965
2.50087,63.8316,,2.50089,131.24833
2.50089,63.87521,,2.50091,131.69455
2.50091,63.94073,,2.50093,132.17082
2.50093,64.02596,,2.50094,132.66212
2.50094,64.13444,,2.50096,133.20224
2.50097,64.26051,,2.50099,133.77376
2.50099,64.40936,,2.50101,134.38899
2.50101,64.57676,,2.50102,135.03904
2.50102,64.76048,,2.50104,135.72699
2.50104,64.96455,,2.50106,136.44054
2.50106,65.18828,,2.50109,137.19097
2.50108,65.42781,,2.5011,137.89086
2.5011,65.68722,,2.50112,138.67612
2.50112,65.96229,,2.50114,139.33334
2.50114,66.25986,,2.50116,138.1179
2.50116,66.58447,,2.50118,137.72493
2.50118,66.92861,,2.5012,137.61807
2.50119,67.29741,,2.50122,137.62592
2.50121,67.6435,,2.50124,137.67679
2.50123,68.02152,,2.50126,137.71879
2.50125,68.41763,,2.50127,137.76249
2.50127,68.37788,,2.5013,137.76317
2.50129,68.37014,,2.50132,137.69796
2.50131,68.39684,,2.50134,137.58223
2.50133,68.43296,,2.50135,137.41561
2.50134,68.47711,,2.50137,137.16877
2.50136,68.51825,,2.50139,136.82189
2.50138,68.54642,,2.50142,136.4057
2.5014,68.56325,,2.50143,135.91611
2.50142,68.56057,,2.50145,135.36985
2.50144,68.5403,,2.50147,134.75599
2.50146,68.49687,,2.50149,134.06019
2.50148,68.42338,,2.50151,133.36542
2.5015,68.32557,,2.50153,132.56821
2.50151,68.20116,,2.50155,131.72491
2.50153,68.04266,,2.50157,132.14144
2.50156,67.85659,,2.50158,132.25615
2.50157,67.63335,,2.5016,132.16192
2.50159,67.37694,,2.50163,131.95537
2.50161,67.08288,,2.50165,131.64297
2.50163,66.73888,,2.50166,131.29814
2.50165,66.40321,,2.50168,130.93487
2.50166,66.00452,,2.5017,130.55659
2.50168,65.66327,,2.50173,130.19914
2.5017,65.6665,,2.50174,129.85568
2.50173,65.59004,,2.50176,129.54602
2.50174,65.4776,,2.50178,129.28143
2.50176,65.34162,,2.5018,129.0595
2.50178,65.18929,,2.50182,128.86627
2.5018,65.02904,,2.50184,128.77443
2.50181,64.86787,,2.50186,128.74472
2.50183,64.70543,,2.50188,128.74643
2.50186,64.54964,,2.5019,128.76862
2.50188,64.40274,,2.50191,128.81881
2.50189,64.26622,,2.50194,128.96801
2.50191,64.14557,,2.50196,129.13701
2.50193,64.03655,,2.50198,129.3439
2.50195,63.94448,,2.50199,129.59416
2.50197,63.87136,,2.50201,129.85568
2.50198,63.8173,,2.50203,130.17081
2.502,63.78514,,2.50205,130.54705
2.50203,63.78176,,2.50207,130.94889
2.50205,63.79713,,2.50209,131.41662
2.50206,63.84344,,2.50211,131.90758
2.50208,63.91036,,2.50213,132.42312
2.5021,63.9955,,2.50214,132.97416
2.50212,64.10618,,2.50217,133.56105
2.50213,64.23786,,2.50219,134.19096
2.50216,64.38649,,2.50221,134.92568
2.50218,64.55765,,2.50222,135.75975
2.5022,64.74371,,2.50224,136.65221
2.50221,64.95347,,2.50226,137.58393
2.50223,65.18192,,2.50229,138.446
2.50225,65.44759,,2.5023,139.38148
2.50227,65.77594,,2.50232,140.25276
2.50229,66.13062,,2.50234,138.9728
2.50231,66.5094,,2.50236,138.55218
2.50233,66.90929,,2.50238,138.44327
2.50235,67.33103,,2.5024,138.44395
2.50237,67.77313,,2.50242,138.48594
2.50238,68.18468,,2.50244,138.52828
2.5024,68.62733,,2.50246,138.54808
2.50242,69.04728,,2.50248,138.52178
2.50244,69.0545,,2.5025,138.44052
2.50246,69.10034,,2.50252,138.29883
2.50248,69.16789,,2.50254,138.09671
2.5025,69.2325,,2.50255,137.84748
2.50252,69.29411,,2.50257,137.54157
2.50253,69.34699,,2.5026,137.15782
2.50255,69.37852,,2.50262,136.67096
2.50257,69.39282,,2.50263,136.10352
2.50259,69.38566,,2.50265,135.47908
2.50261,69.35478,,2.50267,134.78874
2.50263,69.29732,,2.50269,134.10421
2.50265,69.20883,,2.50271,133.2995
2.50267,69.09189,,2.50273,132.4429
2.50269,68.94544,,2.50275,132.84577
2.5027,68.75885,,2.50277,132.91268
2.50272,68.54583,,2.50278,132.73788
2.50275,68.29365,,2.50281,132.45349
2.50277,68.00319,,2.50283,132.08715
2.50278,67.68455,,2.50285,131.69896
2.5028,67.31994,,2.50286,131.31146
2.50282,66.96428,,2.50288,130.91405
2.50284,66.54543,,2.5029,130.56
2.50285,66.25085,,2.50293,130.22234
2.50287,66.23555,,2.50294,129.89015
2.50289,66.14674,,2.50296,129.60575
2.50292,66.02217,,2.50298,129.37871
2.50293,65.87696,,2.503,129.19333
2.50295,65.71821,,2.50302,129.06461
2.50297,65.54986,,2.50304,128.97619
2.50299,65.38349,,2.50306,128.94615
2.503,65.21396,,2.50308,128.96595
2.50302,65.05239,,2.5031,129.03287
2.50305,64.89987,,2.50311,129.16022
2.50307,64.75894,,2.50314,129.31147
2.50308,64.63382,,2.50316,129.50949
2.5031,64.52271,,2.50318,129.76726
2.50312,64.42822,,2.50319,130.05336
2.50314,64.35469,,2.50321,130.38077
2.50316,64.29991,,2.50324,130.73687
2.50317,64.27054,,2.50326,131.12848
2.50319,64.27058,,2.50327,131.58152
2.50322,64.29427,,2.50329,132.05234
2.50324,64.34323,,2.50331,132.55627
2.50325,64.41774,,2.50333,133.11584
2.50327,64.51177,,2.50335,133.71639
2.50329,64.63388,,2.50337,134.34698
2.50331,64.77514,,2.50339,135.01957
2.50332,64.93766,,2.50341,135.72254
2.50335,65.11976,,2.50342,136.45658
2.50337,65.31914,,2.50345,137.20531
2.50339,65.53674,,2.50347,137.91135
2.5034,65.77382,,2.50349,138.68362
2.50342,66.02757,,2.5035,139.44498
2.50344,66.29996,,2.50352,138.91033
2.50346,66.59029,,2.50354,138.62013
2.50348,66.89737,,2.50357,138.49517
2.5035,67.22498,,2.50358,138.45727
2.50352,67.57155,,2.5036,138.4675
2.50354,67.94423,,2.50362,138.4815
2.50356,68.2909,,2.50364,138.4798
2.50357,68.68247,,2.50366,138.44668
2.50359,69.0025,,2.50368,138.32991
2.50361,68.96344,,2.5037,138.15818
2.50363,68.97898,,2.50372,137.93626
2.50365,69.0206,,2.50374,137.6563
2.50367,69.07073,,2.50375,137.30191
2.50369,69.1195,,2.50378,136.8905
2.50371,69.16238,,2.5038,136.37155
2.50372,69.18969,,2.50381,135.73721
2.50374,69.20308,,2.50383,135.04448
2.50376,69.19791,,2.50385,134.29644
2.50378,69.16693,,2.50387,133.55386
2.5038,69.11211,,2.5039,132.70955
2.50382,69.0321,,2.50391,131.76281
2.50384,68.92161,,2.50393,132.71399
2.50386,68.78425,,2.50395,133.21792
2.50388,68.61193,,2.50397,133.26401
2.50389,68.41061,,2.50399,133.07316
2.50391,68.17456,,2.50401,132.76486
2.50393,67.89521,,2.50403,132.42208
2.50395,67.58468,,2.50405,132.04346
2.50397,67.23537,,2.50406,131.65868
2.50399,66.88106,,2.50408,131.28927
2.50401,66.45381,,2.50411,130.93591
2.50403,66.20863,,2.50413,130.60201
2.50404,66.16474,,2.50414,130.27937
2.50406,66.06379,,2.50416,129.92225
2.50408,65.92877,,2.50418,129.57094
2.50411,65.77762,,2.5042,129.27493
2.50412,65.61444,,2.50422,129.02399
2.50414,65.44388,,2.50424,128.82973
2.50416,65.25236,,2.50426,128.68805
2.50418,65.02137,,2.50428,128.58494
2.5042,64.78876,,2.50429,128.55797
2.50421,64.56346,,2.50432,128.58631
2.50424,64.34721,,2.50434,128.68565
2.50426,64.15304,,2.50436,128.8485
2.50427,63.97896,,2.50438,129.07726
2.50429,63.82912,,2.50439,129.38146
2.50431,63.70749,,2.50441,129.72526
2.50433,63.61665,,2.50444,130.10526
2.50435,63.55703,,2.50446,130.52929
2.50436,63.53558,,2.50447,130.98713
2.50438,63.53888,,2.50449,131.50403
2.50441,63.57431,,2.50451,132.07282
2.50443,63.63933,,2.50453,132.65971
2.50444,63.72726,,2.50455,133.27187
2.50446,63.84662,,2.50457,133.92534
2.50448,63.98817,,2.50459,134.6126
2.5045,64.15026,,2.50461,135.33743
2.50451,64.33702,,2.50462,136.07966
2.50454,64.54748,,2.50465,136.78127
2.50456,64.77457,,2.50467,137.57778
2.50458,65.02727,,2.50469,138.37396
2.50459,65.29683,,2.5047,137.86388
2.50461,65.59141,,2.50472,137.61602
2.50463,65.89962,,2.50475,137.57812
2.50465,66.22885,,2.50477,137.62626
2.50467,66.57741,,2.50478,137.71707
2.50469,66.94169,,2.5048,137.81062
2.50471,67.32585,,2.50482,137.88573
2.50473,67.68845,,2.50484,137.94514
2.50475,68.09703,,2.50486,137.92534
2.50476,68.36472,,2.50488,137.84443
2.50478,68.33924,,2.5049,137.7123
2.5048,68.36662,,2.50492,137.49276
2.50482,68.41716,,2.50494,137.18037
2.50484,68.47635,,2.50496,136.78978
2.50486,68.53065,,2.50498,136.32307
2.50488,68.58019,,2.505,135.7751
2.5049,68.61422,,2.50502,135.14997
2.50491,68.63391,,2.50503,134.45349
2.50493,68.63354,,2.50505,133.72696
2.50495,68.60586,,2.50508,132.94649
2.50497,68.55482,,2.50509,132.03866
2.50499,68.47774,,2.50511,132.22507
2.50501,68.36857,,2.50513,132.48556
2.50503,68.23172,,2.50515,132.39782
2.50505,68.06228,,2.50517,132.1602
2.50507,67.86037,,2.50519,131.81845
2.50508,67.62057,,2.50521,131.44425
2.5051,67.33491,,2.50523,131.04548
2.50512,67.01644,,2.50525,130.64329
2.50514,66.67397,,2.50526,130.26977
2.50516,66.31625,,2.50529,129.90275
2.50518,65.88973,,2.50531,129.57158
2.5052,65.70565,,2.50533,129.28548
2.50522,65.64764,,2.50534,129.02942
2.50523,65.53202,,2.50536,128.8174
2.50525,65.38585,,2.50538,128.6484
2.50527,65.22157,,2.50541,128.50773
2.5053,65.05036,,2.50542,128.4135
2.50531,64.87031,,2.50544,128.34284
2.50533,64.68978,,2.50546,128.35036
2.50535,64.51546,,2.50548,128.42513
2.50537,64.34637,,2.50549,128.52994
2.50539,64.19062,,2.50552,128.73445
2.5054,64.04677,,2.50554,128.98949
2.50543,63.91769,,2.50556,129.28311
2.50545,63.80542,,2.50557,129.61736
2.50546,63.71554,,2.50559,130.00076
2.50548,63.64378,,2.50562,130.41831
2.5055,63.59552,,2.50564,130.91165
2.50552,63.57279,,2.50566,131.44904
2.50554,63.58145,,2.50567,132.00452
2.50555,63.61093,,2.50569,132.59755
2.50557,63.66231,,2.50571,133.22165
2.5056,63.73829,,2.50574,133.88127
2.50562,63.83638,,2.50575,134.56102
2.50563,63.95629,,2.50577,135.27594
2.50565,64.10164,,2.50579,136.03559
2.50567,64.26556,,2.50581,136.80992
2.50569,64.45177,,2.50583,137.55795
2.5057,64.65613,,2.50585,138.3391
2.50573,64.87952,,2.50587,139.18615
2.50575,65.12449,,2.50589,138.11036
2.50577,65.38605,,2.5059,137.44118
2.50578,65.66665,,2.50592,137.20355
2.5058,65.96805,,2.50595,137.16737
2.50582,66.28598,,2.50597,137.19127
2.50584,66.62434,,2.50598,137.22849
2.50586,66.98073,,2.506,137.23839
2.50587,67.35066,,2.50602,137.21687
2.5059,67.7104,,2.50605,137.15201
2.50592,68.13126,,2.50606,137.04002
2.50594,68.34695,,2.50608,136.87546
2.50595,68.34651,,2.5061,136.66413
2.50597,68.38982,,2.50612,136.37973
2.50599,68.44978,,2.50614,135.99428
2.50601,68.51447,,2.50616,135.50128
2.50603,68.56999,,2.50618,134.92634
2.50605,68.61891,,2.5062,134.30086
2.50607,68.65367,,2.50622,133.60915
2.50609,68.66669,,2.50623,132.90106
2.5061,68.66009,,2.50626,132.16292
2.50612,68.62485,,2.50628,131.29505
2.50614,68.5668,,2.5063,131.78463
2.50616,68.48271,,2.50631,132.20798
2.50618,68.36534,,2.50633,132.15438
2.5062,68.21862,,2.50635,131.8908
2.50622,68.04157,,2.50638,131.53266
2.50624,67.82397,,2.50639,131.1554
2.50626,67.57238,,2.50641,130.77814
2.50627,67.27677,,2.50643,130.37937
2.50629,66.94986,,2.50645,129.99391
2.50631,66.60868,,2.50647,129.61153
2.50634,66.24458,,2.50649,129.26977
2.50635,65.80825,,2.50651,128.98913
2.50637,65.65739,,2.50653,128.74775
2.50639,65.56333,,2.50654,128.5511
2.50641,65.42926,,2.50656,128.39644
2.50642,65.26989,,2.50659,128.28103
2.50644,65.09494,,2.50661,128.22743
2.50646,64.91838,,2.50662,128.19226
2.50649,64.73381,,2.50664,128.24005
2.5065,64.55347,,2.50666,128.35374
2.50652,64.37947,,2.50669,128.49509
2.50654,64.21511,,2.5067,128.69789
2.50656,64.0597,,2.50672,128.93415
2.50657,63.91877,,2.50674,129.20386
2.50659,63.79032,,2.50676,129.55961
2.50661,63.68489,,2.50677,129.91298
2.50664,63.59857,,2.5068,130.27522
2.50665,63.53564,,2.50682,130.69994
2.50667,63.5,,2.50684,131.12534
2.50669,63.48618,,2.50685,131.59922
2.50671,63.49751,,2.50687,132.12978
2.50673,63.53236,,2.5069,132.69107
2.50674,63.58695,,2.50692,133.30459
2.50676,63.67207,,2.50693,133.94474
2.50679,63.77467,,2.50695,134.62246
2.50681,63.89939,,2.50697,135.35854
2.50682,64.0472,,2.50699,136.12399
2.50684,64.21537,,2.50701,136.88056
2.50686,64.40345,,2.50703,137.63953
2.50688,64.61309,,2.50705,138.48453
2.50689,64.83982,,2.50707,138.19912
2.50692,65.088,,2.50709,137.77679
2.50694,65.35485,,2.5071,137.65559
2.50696,65.63765,,2.50713,137.65218
2.50697,65.94172,,2.50715,137.70646
2.50699,66.26314,,2.50717,137.77064
2.50701,66.60737,,2.50718,137.81947
2.50703,66.966,,2.5072,137.83449
2.50705,67.32834,,2.50723,137.79693
2.50706,67.68426,,2.50725,137.69758
2.50709,68.09705,,2.50726,137.54224
2.50711,68.24174,,2.50728,137.31759
2.50713,68.2465,,2.5073,137.01544
2.50714,68.29351,,2.50732,136.6351
2.50716,68.35341,,2.50734,136.18034
2.50718,68.41615,,2.50736,135.66992
2.5072,68.47248,,2.50738,135.09225
2.50722,68.52179,,2.5074,134.45994
2.50724,68.55666,,2.50741,133.75184
2.50726,68.56766,,2.50743,133.01985
2.50728,68.56117,,2.50746,132.17212
2.50729,68.52875,,2.50748,132.09326
2.50731,68.46923,,2.50749,132.40326
2.50733,68.38474,,2.50751,132.34487
2.50735,68.26681,,2.50753,132.12295
2.50737,68.11723,,2.50756,131.78665
2.50739,67.94133,,2.50757,131.41417
2.50741,67.72174,,2.50759,131.01643
2.50743,67.46699,,2.50761,130.60434
2.50745,67.17297,,2.50763,130.21171
2.50746,66.84351,,2.50765,129.82216
2.50748,66.51389,,2.50767,129.50601
2.5075,66.14012,,2.50769,129.24312
2.50753,65.71261,,2.50771,129.02326
2.50754,65.67858,,2.50773,128.84777
