Time (hr),mz318,mz366,mz386
1,1.33E+05,1.11E+05,8.77E+03
1.06,1.39E+05,1.04E+05,8.45E+03
1.12,1.40E+05,1.17E+05,1.13E+04
1.18,1.41E+05,1.06E+05,1.02E+04
1.24,1.28E+05,1.12E+05,9.69E+03
1.3,1.33E+05,1.10E+05,8.25E+03
1.36,1.46E+05,1.14E+05,7.98E+03
1.42,1.25E+05,1.11E+05,9.72E+03
1.48,1.35E+05,1.12E+05,7.59E+03
1.54,1.31E+05,1.09E+05,9.01E+03
1.6,1.31E+05,1.06E+05,-1.59E+03
1.66,1.25E+05,1.03E+05,8.56E+03
1.72,1.42E+05,1.11E+05,9.92E+03
