,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
3.63639,9.6198,102.74108,125,142,155.05467
3.63667,8.8038,103.16277,125,142,155.04149
3.63694,8.80004,102.98859,125,142,155.03784
3.63722,9.88016,101.95064,125,142,155.01854
3.6375,11.80094,100.37926,125,142,155.01573
3.63778,14.07464,98.65743,125,142,154.99942
3.63806,15.74054,97.18005,127,142,154.97987
3.63833,17.01601,95.87426,127,142,155.01976
3.63861,16.92196,95.53108,127,142,155.01976
3.63889,15.71899,95.85691,127,142,155.01776
3.63917,13.93614,96.68076,127,142,155.13779
3.63944,11.90305,98.03606,127,142,155.13411
3.63972,9.84127,99.78065,127,142,155.19748
3.64,8.74041,101.2295,127,142,155.1945
3.64028,8.75353,102.30604,115,142,155.19044
3.64056,9.3548,103.13248,115,142,155.1666
3.64083,11.15368,102.4809,115,142,155.16203
3.64111,13.35178,101.52632,115,142,155.18695
3.64139,14.95795,100.03133,115,142,155.19197
3.64167,15.932,98.36266,115,142,155.23488
3.64194,16.5605,96.59979,115,142,155.23117
3.64222,15.83953,95.71138,115,142,155.23785
3.6425,14.68302,94.87492,138,141,155.22029
3.64278,13.23713,95.07512,138,141,155.2162
3.64306,11.28683,96.1993,138,141,155.21834
3.64333,9.54609,97.61213,138,141,155.21437
3.64361,8.97861,99.41757,138,141,155.20767
3.64389,8.91822,101.32611,138,141,155.20493
3.64417,10.07761,102.44664,138,141,155.20638
3.64444,11.88485,102.935,138,141,155.20279
3.64472,13.96456,103.08282,126,143,155.2653
3.645,15.59284,102.0487,126,143,155.26036
3.64528,16.781,100.84766,126,143,155.25711
3.64556,16.87591,98.9622,126,143,155.31721
3.64583,16.09423,97.31061,126,143,155.31293
3.64611,14.47158,95.81945,126,143,155.3194
3.64639,12.64648,95.1725,126,143,155.32661
3.64667,11.91014,95.95084,126,143,155.27216
3.64694,10.70519,97.03059,124,143,155.28958
3.64722,10.48074,98.61274,124,143,155.26001
3.6475,10.82814,100.35356,124,143,155.25136
3.64778,11.21635,101.13258,124,143,155.23824
3.64806,12.88486,102.22424,124,143,155.23758
3.64833,14.65662,102.46474,124,143,155.25449
3.64861,16.16166,102.18914,124,143,155.23795
3.64889,17.15582,101.61514,124,143,155.23064
3.64917,16.86869,100.25284,124,142,155.2155
3.64944,15.58936,98.58722,124,142,155.20914
3.64972,13.60981,97.02102,124,142,155.18787
3.65,11.32068,95.78072,124,142,155.14925
3.65028,9.27515,94.96408,124,142,155.13826
3.65056,8.84134,95.66411,124,142,155.08394
3.65083,9.40105,97.05424,124,142,155.02449
3.65111,10.88619,98.78923,124,142,155.00803
3.65139,13.21285,100.86463,123,141,155.02292
3.65167,15.06172,102.26598,123,141,154.9946
3.65194,15.90838,102.47839,123,141,154.98727
3.65222,16.52763,102.47426,123,141,154.99991
3.6525,15.70634,101.32529,123,141,155.0276
3.65278,14.16363,99.7271,123,141,155.0254
3.65306,12.46555,98.11435,123,141,155
3.65333,10.52388,96.59759,123,141,154.98958
3.65361,8.95406,95.38322,121,140,154.98167
3.65389,8.72849,95.30151,121,140,154.93681
3.65417,9.54732,96.00297,121,140,154.92552
3.65444,10.92184,97.00705,121,140,154.88072
3.65472,13.20431,98.84106,121,140,154.9262
3.655,15.27532,100.65395,121,140,155.04318
3.65528,16.53218,102.08129,121,140,155.03867
3.65556,16.67565,102.8088,121,140,155.00838
3.65583,15.90335,102.96302,113,139,154.99522
3.65611,14.06262,102.05151,113,139,154.9897
3.65639,11.6804,100.51813,113,139,154.9531
3.65667,10.10162,99.08815,113,139,154.92851
3.65694,8.85947,97.31242,113,139,154.92433
3.65722,8.6105,95.84029,113,139,155.04607
3.6575,9.76051,95.3698,113,139,155.04468
3.65778,11.42351,95.30145,113,139,155.023
3.65806,13.56667,96.4474,125,140,155.01706
3.65833,15.38743,98.05125,125,140,155.00232
3.65861,16.65118,99.8046,125,140,154.93916
3.65889,16.74081,101.41219,125,140,154.944
3.65917,16.13688,102.59069,125,140,154.93588
3.65944,14.66022,102.96912,125,140,154.93451
3.65972,12.81883,102.73341,125,140,154.90582
3.66,10.76534,101.91962,125,140,154.95067
3.66028,9.45902,100.40276,132,139,154.94962
3.66056,8.73494,98.88123,132,139,155.0762
3.66083,9.04664,97.3411,132,139,155.07135
3.66111,10.56584,96.25638,132,139,155.05138
3.66139,12.42108,95.42405,132,139,155.06421
3.66167,14.26107,95.77004,132,139,155.05963
3.66194,16.06341,96.46145,132,139,155.0352
3.66222,16.68113,97.78155,132,139,155.03062
3.6625,16.2194,99.76589,125,141,155.02176
3.66278,15.01174,101.46076,125,141,155.00867
3.66306,13.04063,102.57282,125,141,154.98657
3.66333,10.84121,103.29157,125,141,154.98558
3.66361,9.38764,102.82586,125,141,155.07892
3.66389,8.81337,101.59532,125,141,155.07892
3.66417,8.80948,100.03232,125,141,155.07619
3.66444,10.21496,98.32678,125,141,155.06198
3.66472,12.0104,96.62709,124,142,155.05898
3.665,13.7952,95.80792,124,142,155.14508
3.66528,15.56959,95.6379,124,142,155.14212
3.66556,16.62542,96.05045,124,142,155.25111
3.66583,16.32698,97.47039,124,142,155.24031
3.66611,15.42418,98.97408,124,142,155.23538
3.66639,13.53549,100.66225,124,142,155.32468
3.66667,11.52074,101.96458,124,142,155.3212
3.66694,9.69444,102.86974,123,142,155.28394
3.66722,8.9916,102.65939,123,142,155.2797
3.6675,8.99259,102.10639,123,142,155.25471
3.66778,10.1463,100.68037,123,142,155.2511
3.66806,12.39632,98.8379,123,142,155.23074
3.66833,14.71119,96.95534,123,142,155.21631
3.66861,16.21161,95.90656,123,142,155.20877
3.66889,17.03042,95.34963,123,142,155.22511
3.66917,16.21478,95.98937,130,142,155.22708
3.66944,14.43956,97.42431,130,142,155.23473
3.66972,12.42549,99.17116,130,142,155.33153
3.67,10.5413,100.87888,130,142,155.32768
3.67028,9.3451,102.15501,130,142,155.3003
3.67056,9.17286,102.69894,130,142,155.2974
3.67083,10.13073,102.35492,130,142,155.27995
3.67111,11.84885,101.27616,130,142,155.23628
3.67139,14.06988,99.5238,125,143,155.24042
3.67167,15.846,97.71763,125,143,155.21783
3.67194,17.085,96.01519,125,143,155.21518
3.67222,16.80429,95.34873,125,143,155.1882
3.6725,15.4854,95.10489,125,143,155.16586
3.67278,13.63869,95.94485,125,143,155.12976
3.67306,11.3558,97.11998,125,143,155.07484
3.67333,9.64839,98.57413,125,143,155.1617
3.67361,8.76608,100.56191,119,142,155.15761
3.67389,8.75208,102.10912,119,142,155.28093
3.67417,10.09036,102.85709,119,142,155.27669
3.67444,12.18446,102.94788,119,142,155.25008
3.67472,14.25892,101.82524,119,142,155.244
3.675,15.91809,100.24236,119,142,155.21725
3.67528,17.04763,98.13806,119,142,155.17471
3.67556,16.20749,96.40616,119,142,155.15697
3.67583,14.93908,95.27038,119,142,155.03328
3.67611,12.86685,95.01321,119,142,155.03606
3.67639,10.25168,96.19131,119,142,155.03197
3.67667,8.81465,97.82291,119,142,155.01128
3.67694,8.53154,99.24567,119,142,155.0062
3.67722,9.34774,99.83562,119,142,154.9848
3.6775,11.10767,100.48735,119,142,154.97046
3.67778,13.1813,100.80563,119,142,154.94727
3.67806,15.18432,101.12413,120,143,154.77896
3.67833,16.16868,101.34752,120,143,154.78253
3.67861,16.87647,100.36589,120,143,154.76877
3.67889,16.5928,98.9613,120,143,154.76741
3.67917,15.23593,97.43185,120,143,154.74442
3.67944,12.9694,95.89095,120,143,154.73721
3.67972,10.98966,95.49403,120,143,154.71654
3.68,9.12074,95.30934,120,143,154.69534
3.68028,8.28899,96.08417,123,143,154.67278
3.68056,8.96614,97.59772,123,143,154.61507
3.68083,10.26498,99.4111,123,143,154.61154
3.68111,12.25582,101.13386,123,143,154.63574
3.68139,14.4517,102.69307,123,143,154.63113
3.68167,16.32605,103.60969,123,143,154.67615
3.68194,17.07764,103.39188,123,143,154.70023
3.68222,17.30064,102.77646,123,143,154.7095
3.6825,16.17826,101.21142,121,142,154.76048
3.68278,14.41224,99.46057,121,142,154.75735
3.68306,12.43146,97.80985,121,142,154.7485
3.68333,10.30194,96.29867,121,142,154.74277
3.68361,8.72681,95.27775,121,142,154.70552
3.68389,8.41904,95.27298,121,142,154.71811
3.68417,8.99826,95.81508,121,142,154.86928
3.68444,10.65087,97.10671,121,142,154.89137
3.68472,12.992,98.99138,126,143,154.86786
3.685,15.23857,100.89293,126,143,154.85986
3.68528,16.58625,102.1536,126,143,154.83719
3.68556,17.18214,103.24865,126,143,154.80972
3.68583,16.47279,103.25628,126,143,154.77492
3.68611,14.63379,102.27136,126,143,154.81119
3.68639,12.30053,100.66132,126,143,154.81693
3.68667,10.35479,98.83707,126,143,154.82272
3.68694,8.79892,96.7867,124,143,154.85104
3.68722,8.7814,95.69586,124,143,154.86244
3.6875,10.02873,95.5572,124,143,154.90456
3.68778,11.94565,96.15752,124,143,154.9032
3.68806,14.20434,97.81534,124,143,154.9074
3.68833,16.16137,99.71843,124,143,154.90724
3.68861,16.78291,101.38589,124,143,154.99121
3.68889,16.37112,102.59086,124,143,154.99626
3.68917,14.96246,103.14933,132,143,154.99597
3.68944,12.64314,102.4466,132,143,155.1905
3.68972,10.64802,101.31386,132,143,155.18715
3.69,9.33595,99.70364,132,143,155.16034
3.69028,9.05996,97.94551,132,143,155.15742
3.69056,9.78987,96.40994,132,143,155.13992
3.69083,11.3109,95.86075,132,143,155.17912
3.69111,13.24672,95.78548,132,143,155.19339
3.69139,14.97355,96.59534,122,143,155.17862
3.69167,16.25443,98.26564,122,143,155.22272
3.69194,16.76494,99.93457,122,143,155.2188
3.69222,15.82439,101.12886,122,143,155.19197
3.6925,14.18249,102.35754,122,143,155.18753
3.69278,12.11412,102.5904,122,143,155.17082
3.69306,10.2627,102.27603,122,143,155.14352
3.69333,8.84924,101.42513,122,143,155.13248
3.69361,8.83868,99.87573,124,143,155.15451
3.69389,9.60899,98.31213,124,143,155.15085
3.69417,11.53802,96.78038,124,143,155.12204
3.69444,13.80221,96.00371,124,143,155.11732
3.69472,15.85644,95.66451,124,143,155.1007
3.695,16.58784,96.48124,124,143,155.0489
3.69528,16.1042,97.51197,124,143,155.04433
3.69556,15.09849,99.14873,124,143,155.13881
3.69583,13.34,100.80319,125,142,155.15036
3.69611,11.47539,102.20067,125,142,155.23509
3.69639,10.44035,102.74764,125,142,155.23233
3.69667,9.22851,102.81826,125,142,155.20795
3.69694,8.96726,101.98237,125,142,155.20142
3.69722,9.97295,100.44168,125,142,155.17482
3.6975,11.37479,98.89738,125,142,155.14728
3.69778,13.41357,97.34152,125,142,155.13614
3.69806,15.48232,95.85194,131,142,155.0456
3.69833,16.71701,95.22536,131,142,155.0776
3.69861,17.03493,95.40232,131,142,155.07358
3.69889,16.41141,96.2507,131,142,155.05734
3.69917,14.57881,97.97651,131,142,155.05052
3.69944,12.36702,99.88249,131,142,155.03601
3.69972,10.40119,101.49397,131,142,155.01923
3.7,9.00647,102.66612,131,142,155.00647
3.70028,8.45474,103.22088,123,142,154.99196
3.70056,9.28588,102.69978,123,142,154.97777
3.70083,10.63759,101.93858,123,142,154.95949
3.70111,12.55291,100.41559,123,142,155.07344
3.70139,14.60399,98.69256,123,142,155.04524
3.70167,16.39448,96.86245,123,142,155.04031
3.70194,17.09094,95.64684,123,142,155.14468
3.70222,17.19708,94.83753,123,142,155.14594
3.7025,16.04824,94.97051,122,143,155.13364
3.70278,13.88087,96.02992,122,143,155.12761
3.70306,11.68897,97.37402,122,143,155.07306
3.70333,9.99124,99.08811,122,143,155.07104
3.70361,8.67672,100.99118,122,143,155.13107
3.70389,8.66351,102.23829,122,143,155.13663
3.70417,9.64785,102.98664,122,143,155.13826
3.70444,11.26958,103.09652,122,143,155.12756
3.70472,13.41949,101.94698,124,142,155.12283
3.705,15.39626,100.59736,124,142,155.03572
3.70528,16.55455,98.91779,124,142,155.0319
3.70556,16.73588,97.21971,124,142,155.06859
3.70583,16.21503,95.82494,124,142,155.07417
3.70611,14.68317,95.3502,124,142,155.13698
3.70639,12.79215,95.26543,124,142,155.13303
3.70667,10.8951,96.25947,124,142,155.16464
3.70694,9.32462,97.80279,125,142,155.20583
3.70722,8.43437,99.56306,125,142,155.215
3.7075,8.8533,101.25481,125,142,155.3015
3.70778,9.98573,102.71137,125,142,155.29755
3.70806,11.98247,103.23353,125,142,155.28262
3.70833,14.10368,102.93192,125,142,155.27756
3.70861,16.13132,102.15514,125,142,155.26175
3.70889,16.8512,100.41263,125,142,155.25809
3.70917,16.84172,98.70438,124,142,155.25418
3.70944,15.6938,97.16227,124,142,155.32266
3.70972,13.79009,95.89017,124,142,155.3178
3.71,11.68438,95.18227,124,142,155.27693
3.71028,10.16235,95.78221,124,142,155.27327
3.71056,8.98094,96.63076,124,142,155.30508
3.71083,9.01522,98.30112,124,142,155.31953
3.71111,10.28376,100.17643,124,142,155.31953
3.71139,11.93199,101.87164,121,142,155.46355
3.71167,13.95069,102.81411,121,142,155.46011
3.71194,15.83353,103.2576,121,142,155.43652
3.71222,16.63786,102.57356,121,142,155.43027
3.7125,16.34879,101.09259,121,142,155.40375
3.71278,15.21061,99.26769,121,142,155.38332
3.71306,13.1075,97.49715,121,142,155.3576
3.71333,10.95986,96.01017,121,142,155.21552
3.71361,9.47355,95.39824,126,142,155.22604
3.71389,8.94764,95.75441,126,142,155.2014
3.71417,9.26133,96.68276,126,142,155.21353
3.71444,10.91488,98.50729,126,142,155.18611
3.71472,12.9677,100.46931,126,142,155.18355
3.715,15.07689,102.11626,126,142,155.16568
3.71528,16.38624,102.96606,126,142,155.1184
3.71556,16.96499,103.2173,126,142,155.12753
3.71583,16.14833,102.26518,134,141,155.13391
3.71611,14.63551,100.99477,134,141,155.17537
3.71639,12.73572,99.3718,134,141,155.17119
3.71667,10.79522,97.70966,134,141,155.16266
3.71694,9.27173,96.30396,134,141,155.18271
3.71722,8.95941,95.73546,134,141,155.1552
3.7175,9.59839,95.87161,134,141,155.1459
3.71778,11.05603,96.80308,134,141,155.11926
3.71806,13.12674,98.44925,134,141,155.0763
3.71833,15.07796,100.19256,134,141,155.01091
