Time (hr),mz318,mz366,mz386
0.22,118618,107511,4583
0.28,131624,111331,7056
0.34,133920,127763,9642
0.4,124191,115484,7691
0.46,127567,116123,6746
0.52,133951,111804,6673
0.58,135351,125375,10658
0.64,119802,115066,9119
0.7,141764,116816,7622
