,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
0.2,7.87295,101.04623,118,142,22.5388
0.20028,8.9955,97.45127,118,142,22.26331
0.20056,11.35386,94.47712,118,142,22.51341
0.20083,14.30217,92.21004,118,142,22.4414
0.20111,16.32059,92.42541,118,142,22.40226
0.20139,16.05041,94.457,118,142,22.69533
0.20167,14.88751,96.43991,118,142,22.27607
0.20194,13.27929,98.65842,118,142,22.69245
0.20222,11.2272,100.32667,122,142,22.4236
0.2025,9.93582,100.49353,122,142,22.47041
0.20278,8.59936,100.76629,122,142,22.49885
0.20306,8.88795,99.80761,122,142,22.17577
0.20333,10.14903,98.33795,122,142,22.62591
0.20361,12.19584,96.45628,122,142,22.2297
0.20389,15.70311,94.11233,122,142,22.50703
0.20417,17.5625,93.46411,122,142,22.59774
0.20444,17.31278,94.06331,124,141,22.22762
0.20472,15.32071,96.30293,124,141,22.76405
0.205,12.48232,98.53427,124,141,22.43266
0.20528,9.53545,100.66335,124,141,22.42841
0.20556,6.95129,102.88512,124,141,22.67562
0.20583,6.11716,103.41922,124,141,22.15666
0.20611,7.39887,102.29456,124,141,22.57574
0.20639,9.67823,100.3087,124,141,22.38974
0.20667,12.67852,97.5621,124,141,22.38948
0.20694,13.77888,96.47308,124,141,22.78287
0.20722,13.35093,96.61488,124,141,22.26211
0.2075,11.8594,97.58621,124,141,22.66344
0.20778,10.43852,99.04029,124,141,22.53424
0.20806,9.93863,99.59841,124,141,22.2463
0.20833,9.27405,100.73161,124,141,22.66913
0.20861,9.76494,101.03211,124,141,22.21922
0.20889,10.60273,100.77662,122,140,22.49695
0.20917,12.6118,99.42137,122,140,22.63668
0.20944,14.60112,97.52479,122,140,22.2565
0.20972,15.98792,95.74606,122,140,22.77778
0.21,16.03795,94.70416,122,140,22.3872
0.21028,14.53844,94.96096,122,140,22.35626
0.21056,12.59485,95.31679,122,140,22.7304
0.21083,10.47541,96.92099,122,140,22.26674
0.21111,9.05853,98.85979,131,139,22.59288
0.21139,9.05232,100.12479,131,139,22.3494
0.21167,9.91803,101.43071,131,139,22.33541
0.21194,11.70867,101.1878,131,139,22.65214
0.21222,13.54117,99.74837,131,139,22.17698
0.2125,15.62541,98.04431,131,139,22.69695
0.21278,15.94788,96.35825,131,139,22.55265
0.21306,14.63087,96.4665,131,139,22.32745
0.21333,12.90383,96.49868,128,141,22.86409
0.21361,10.18437,97.49551,128,141,22.37
0.21389,8.4422,99.03494,128,141,22.62876
0.21417,8.16455,99.60365,128,141,22.65451
