,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
2.53639,15.57946,101.25331,129,145,155.19127
2.53667,16.41259,99.60183,129,145,155.15865
2.53694,15.98456,97.42282,129,145,155.1433
2.53722,14.33044,95.72147,129,145,155.1218
2.5375,12.11627,95.32415,129,145,155.11418
2.53778,9.81451,95.48696,129,145,155.11032
2.53806,8.7295,96.93739,121,146,155.0846
2.53833,9.11663,99.05518,121,146,155.08148
2.53861,10.46066,100.98612,121,146,155.05907
2.53889,12.62482,102.30836,121,146,155.03409
2.53917,15.07328,103.10362,121,146,155.02573
2.53944,16.40652,102.48585,121,146,155.04247
2.53972,16.69288,100.98052,121,146,155.03897
2.54,15.84783,99.03917,121,146,155.01277
2.54028,13.53948,97.06589,124,144,155.00816
2.54056,11.17187,95.57573,124,144,154.99075
2.54083,9.4672,95.31478,124,144,154.96278
2.54111,8.74537,95.99674,124,144,154.95592
2.54139,9.26151,97.48151,124,144,154.91858
2.54167,11.10224,99.42632,124,144,154.90942
2.54194,13.24462,101.37176,124,144,154.87299
2.54222,15.15446,102.53782,124,144,154.85999
2.5425,16.37817,102.8403,128,142,154.87752
2.54278,16.42196,102.21835,128,142,154.94292
2.54306,15.0605,100.50388,128,142,155.03915
2.54333,12.9877,98.52273,128,142,155.03711
2.54361,10.82568,96.74597,128,142,155.01346
2.54389,9.04604,95.44755,128,142,155.00789
2.54417,8.22054,94.93645,128,142,154.99377
2.54444,9.08043,95.83375,128,142,154.95132
2.54472,10.53564,97.21062,119,142,154.9592
2.545,12.65988,99.02115,119,142,155.06413
2.54528,14.53741,100.70093,119,142,155.05952
2.54556,15.80106,101.97737,119,142,155.04312
2.54583,15.99656,102.47702,119,142,155.20647
2.54611,15.07585,102.13386,119,142,155.20224
2.54639,13.42872,100.92864,119,142,155.18031
2.54667,11.39195,99.25629,119,142,155.17764
2.54694,9.40393,97.18294,128,143,155.15747
2.54722,8.74001,95.93689,128,143,155.13138
2.5475,8.90276,95.19215,128,143,155.09996
2.54778,10.22127,95.56495,128,143,155.08884
2.54806,12.30714,96.82217,128,143,155.09395
2.54833,14.49413,98.64014,128,143,155.2046
2.54861,16.03413,100.63747,128,143,155.20607
2.54889,16.51403,102.32983,128,143,155.20268
2.54917,15.64319,102.85003,128,140,155.17621
2.54944,13.71726,102.52182,128,140,155.1713
2.54972,11.47449,101.42546,128,140,155.15921
2.55,9.77468,99.47541,128,140,155.19498
2.55028,8.69721,97.53624,128,140,155.21536
