"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aaeA",15.2726885464897,-0.725733363513641,0.353650609615368,-2.05211964515755,0.0401580361795291,0.0957570798737172
"aaeB",26.8104341618165,-0.0799275733131003,0.266794410892474,-0.299584886526403,0.764493813771677,0.858967429740113
"aaeR",52.1863193703554,-0.102503194666363,0.190928324657084,-0.536867407444458,0.591359205755845,0.731837010442958
"aaeX",7.57402705761571,0.364158679039183,0.501601962142813,0.725991336803228,0.467844081433152,0.629609664343452
"aas",208.749744960331,-0.404730602428932,0.105428851801266,-3.83889794410216,0.000123587783454613,0.000571125362934195
"aat",151.409035580539,-0.0363915374979421,0.121655776920462,-0.299135301414701,0.764836812105759,0.859065117045471
"abgA",12.733080537399,0.20503346226527,0.396407687138221,0.517228774611977,0.604996467569105,0.742773535827415
"abgB",52.4656610400473,-0.480929815285656,0.195571752767011,-2.45909651307671,0.0139287167558749,0.0390073829014693
"abgR",14.5661369457095,-0.261905213954611,0.362411594228904,-0.72267338607602,0.469880570105773,0.632096757299466
"abgT",15.1396433761452,-0.498788136066847,0.355099431452778,-1.40464357835272,0.160127291190141,0.294693945114056
"abrB",10.5873441142316,-0.747170105633026,0.421934829085406,-1.77081874765495,0.0765908473203813,0.163358100928086
"accA",185.705384294463,-0.128611873982316,0.112075519578967,-1.14754653349341,0.251155812653522,0.412446280691418
"accB",82.0304043942834,0.778787686715399,0.160055335745998,4.86574023343593,1.14029207805713e-06,7.39976774058351e-06
"accC",119.764200719447,0.973532005211276,0.141984586627173,6.85660344081999,7.05170255110771e-12,8.89415866878435e-11
"accD",148.405384783115,0.867971013255817,0.124585968415792,6.96684405389106,3.24129610876491e-12,4.23134180735652e-11
"aceA",2136.42158341292,0.707452552288703,0.201989824537405,3.50241678712729,0.000461057775609371,0.00185473481674993
"aceB",2231.39714253447,0.725466148156856,0.158703437010885,4.57120628148148,4.84924629578788e-06,2.81474417342013e-05
"aceE",599.174023870609,0.740410385736965,0.0919286193053418,8.05418803558536,8.00081408531407e-16,1.47487534374883e-14
"aceF",374.216974109793,0.629742549467412,0.100469137721237,6.26801984918695,3.65668180904317e-10,3.90705970361141e-09
"aceK",278.523779963043,0.275520396851611,0.110315660698206,2.49756376481632,0.0125049973070159,0.0357057582681178
"ackA",2977.71803333414,-0.193520438026299,0.0502167353118609,-3.85370408539065,0.000116344198680777,0.000539882139106511
"acnA",6693.01864397431,-0.685506784777792,0.0650744098739807,-10.534199020864,6.00926580124729e-26,2.9218966323456e-24
"acnB",1088.77495963144,1.06068924094618,0.0754944470456451,14.0498974753053,7.71456379147531e-45,1.12532006610433e-42
"acpH",66.7492838135378,-0.553462402738875,0.17775628857493,-3.11360237759225,0.00184818377771519,0.00649964001492081
"acpP",1185.14723796705,-0.492502222179417,0.0845323648573485,-5.82619713775348,5.67046289160888e-09,5.12787142893471e-08
"acpS",5.58172889092091,0.478553510471579,0.605427466925408,0.790439047805109,0.429271405560536,0.595276987732208
"acpT",124.404905618154,-0.112228008483082,0.132371018158473,-0.847829155085325,0.396533123653353,0.56799331109625
"acrA",163.107144902045,0.275641440915519,0.121373608860796,2.27101627365841,0.023145992819159,0.0604788208008398
"acrB",228.068152107896,0.279524781499623,0.123845758828711,2.25703959621442,0.024005600677268,0.0624816061072413
"acrD",27.6780323986896,0.728442588784381,0.270364863089964,2.69429459308842,0.00705377891242162,0.0215140256828859
"acrE",2.31052223681076,1.81160754416189,1.00301241646429,1.80616661810426,0.070892317508635,NA
"acrF",42.5825558707189,-0.470337915826557,0.221159573645052,-2.12669028102496,0.0334458255791813,0.0823867436256631
"acrR",52.7692036329374,-0.118139765706547,0.194300300545514,-0.608026675073894,0.543169782151032,0.695017017206984
"acrS",0.1129121450706,-0.995157694972008,3.5338115409304,-0.281610290601405,0.778242348683862,NA
