<class 'dict'>
[INFO] Number of total samples: 224
[INFO] Observable dimension of a sample: 980
[INFO TYPE]<class 'numpy.ndarray'>
[INFO TYPE](224, 2)
[DEBUG]array([0.6, 0.8])
[INFO] Yp.shape (E-DMD): (224, 980)
[INFO] Yf.shape (E-DMD): (224, 980)
Number of training snapshots: 112
Number of test snapshots: 112
[INFO] hidden_vars_list: array([50, 50, 50, 50])
step 115000 , validation error 0.09333
step 115000 , test error 0.0890462
step 120000 , validation error 0.0937401
step 120000 , test error 0.083481
step 125000 , validation error 0.0986462
step 125000 , test error 0.0812497
step 130000 , validation error 0.0948375
step 130000 , test error 0.0768827
step 135000 , validation error 0.0866742
step 135000 , test error 0.0810283
step 140000 , validation error 0.0902153
step 140000 , test error 0.0850727
step 145000 , validation error 0.0902325
step 145000 , test error 0.0856271
step 150000 , validation error 0.0957484
step 150000 , test error 0.0816396
step 155000 , validation error 0.0903982
step 155000 , test error 0.0802616
step 160000 , validation error 0.0889229
step 160000 , test error 0.0840998
step 165000 , validation error 0.0913386
step 165000 , test error 0.0792994
step 170000 , validation error 0.0893949
step 170000 , test error 0.0832049
step 175000 , validation error 0.0937482
step 175000 , test error 0.0783746
step 180000 , validation error 0.0884491
step 180000 , test error 0.0815789
step 185000 , validation error 0.0886196
step 185000 , test error 0.0703786
step 190000 , validation error 0.0886356
step 190000 , test error 0.082932
step 195000 , validation error 0.0879868
step 195000 , test error 0.0785919
step 200000 , validation error 0.0853113
step 200000 , test error 0.0799538
step 205000 , validation error 0.0804037
step 205000 , test error 0.0815108
step 210000 , validation error 0.0742575
step 210000 , test error 0.069355
step 215000 , validation error 0.0824259
step 215000 , test error 0.0795891
step 220000 , validation error 0.0789263
step 220000 , test error 0.0730983
step 225000 , validation error 0.0741891
step 225000 , test error 0.0732182
step 230000 , validation error 0.0818654
step 230000 , test error 0.0773041
step 235000 , validation error 0.0815335
step 235000 , test error 0.0741688
step 240000 , validation error 0.0770313
step 240000 , test error 0.0707083
step 245000 , validation error 0.0802825
step 245000 , test error 0.0738216
step 250000 , validation error 0.0788779
step 250000 , test error 0.0763554
step 255000 , validation error 0.0791086
step 255000 , test error 0.0751907
step 260000 , validation error 0.0787395
step 260000 , test error 0.0741918
step 265000 , validation error 0.082213
step 265000 , test error 0.0762492
step 270000 , validation error 0.0714562
step 270000 , test error 0.0710008
step 275000 , validation error 0.0766806
step 275000 , test error 0.0684695
step 280000 , validation error 0.072367
step 280000 , test error 0.0798093
step 285000 , validation error 0.0735086
step 285000 , test error 0.0709948
step 290000 , validation error 0.0706969
step 290000 , test error 0.0710891
step 295000 , validation error 0.0772962
step 295000 , test error 0.0790926
step 300000 , validation error 0.0728187
step 300000 , test error 0.0745409
step 305000 , validation error 0.0691793
step 305000 , test error 0.0693035
step 310000 , validation error 0.071698
step 310000 , test error 0.0739339
step 315000 , validation error 0.069246
step 315000 , test error 0.0679398
step 320000 , validation error 0.0652257
step 320000 , test error 0.0693464
step 325000 , validation error 0.0686724
step 325000 , test error 0.0711578
step 330000 , validation error 0.0722536
step 330000 , test error 0.0698909
step 335000 , validation error 0.0699941
step 335000 , test error 0.0687742
step 340000 , validation error 0.0678218
step 340000 , test error 0.0709976
step 345000 , validation error 0.0684553
step 345000 , test error 0.0693261
step 350000 , validation error 0.0681331
step 350000 , test error 0.0750595
step 355000 , validation error 0.0672805
step 355000 , test error 0.0677892
step 360000 , validation error 0.0665807
step 360000 , test error 0.0658317
step 365000 , validation error 0.0641384
step 365000 , test error 0.0672001
step 370000 , validation error 0.0650453
step 370000 , test error 0.0678721
step 375000 , validation error 0.0633739
step 375000 , test error 0.0644191
step 380000 , validation error 0.0652694
step 380000 , test error 0.0705301
step 385000 , validation error 0.0609783
step 385000 , test error 0.0666572
step 390000 , validation error 0.0655889
step 390000 , test error 0.0624752
step 395000 , validation error 0.0663091
step 395000 , test error 0.0653898
step 400000 , validation error 0.0621671
step 400000 , test error 0.0646309
[INFO] Initialization was successful: True
[INFO] Koopman_dim:(1030, 1030)
[COMP] Training error: 0.137600
[COMP] Test error: 25.865086
[RESULT] n-step Prediction error: 653476110.711036
