"sample_id","timepoint","strain","temperature","replicate","arabinose_concentration","arabinose_unit","IPTG_concentration","IPTG_unit","strain_input_state"
"sample.ginkgo.13109652.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-07","M","11"
"sample.ginkgo.13109653.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-06","M","11"
"sample.ginkgo.13109654.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-05","M","11"
"sample.ginkgo.13109656.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","0.00025","M","11"
"sample.ginkgo.13109657.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","0","M","NA"
"sample.ginkgo.13109658.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-07","M","NA"
"sample.ginkgo.13109659.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-06","M","NA"
"sample.ginkgo.13109660.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-05","M","NA"
"sample.ginkgo.13109661.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","0.00025","M","NA"
"sample.ginkgo.13109663.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.005","M","0","M","01"
"sample.ginkgo.13109664.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-07","M","11"
"sample.ginkgo.13109665.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-06","M","11"
"sample.ginkgo.13109666.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-05","M","11"
"sample.ginkgo.13109667.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.005","M","0.00025","M","11"
"sample.ginkgo.13109668.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.005","M","0","M","NA"
"sample.ginkgo.13109670.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-07","M","NA"
"sample.ginkgo.13109671.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-06","M","NA"
"sample.ginkgo.13109672.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-05","M","NA"
"sample.ginkgo.13109673.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.005","M","0.00025","M","NA"
"sample.ginkgo.13109674.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.025","M","0","M","01"
"sample.ginkgo.13109676.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-07","M","11"
"sample.ginkgo.13109677.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-06","M","11"
"sample.ginkgo.13109678.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-05","M","11"
"sample.ginkgo.13109679.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.025","M","0.00025","M","11"
"sample.ginkgo.13109680.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.025","M","0","M","NA"
"sample.ginkgo.13109681.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-07","M","NA"
"sample.ginkgo.13109683.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-06","M","NA"
"sample.ginkgo.13109684.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-05","M","NA"
"sample.ginkgo.13109685.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.025","M","0.00025","M","NA"
"sample.ginkgo.13109686.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","0","M","01"
"sample.ginkgo.13109687.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-07","M","11"
"sample.ginkgo.13109688.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-06","M","11"
"sample.ginkgo.13109689.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-05","M","11"
"sample.ginkgo.13109691.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","0.00025","M","11"
"sample.ginkgo.13109692.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","0","M","NA"
"sample.ginkgo.13109693.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-07","M","NA"
"sample.ginkgo.13109694.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-06","M","NA"
"sample.ginkgo.13109695.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-05","M","NA"
"sample.ginkgo.13109696.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","0.00025","M","NA"
"sample.ginkgo.13109697.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","0","M","01"
"sample.ginkgo.13109699.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-07","M","11"
"sample.ginkgo.13109700.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-06","M","11"
"sample.ginkgo.13109701.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-05","M","11"
"sample.ginkgo.13109702.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","0.00025","M","11"
"sample.ginkgo.13109703.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","0","M","NA"
"sample.ginkgo.13109704.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-07","M","NA"
"sample.ginkgo.13109705.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-06","M","NA"
"sample.ginkgo.13109707.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-05","M","NA"
"sample.ginkgo.13109708.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","0.00025","M","NA"
"sample.ginkgo.13109709.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0","M","0","M","00"
"sample.ginkgo.13109710.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-07","M","10"
"sample.ginkgo.13109711.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-06","M","10"
"sample.ginkgo.13109712.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-05","M","10"
"sample.ginkgo.13109713.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0","M","0.00025","M","10"
"sample.ginkgo.13109714.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0","M","0","M","NA"
"sample.ginkgo.13109716.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-07","M","NA"
"sample.ginkgo.13109717.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-06","M","NA"
"sample.ginkgo.13109718.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-05","M","NA"
"sample.ginkgo.13109719.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0","M","0.00025","M","NA"
"sample.ginkgo.13109720.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-05","M","0","M","01"
"sample.ginkgo.13109721.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-07","M","11"
"sample.ginkgo.13109723.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-06","M","11"
"sample.ginkgo.13109724.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-05","M","11"
"sample.ginkgo.13109725.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-05","M","0.00025","M","11"
"sample.ginkgo.13109726.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-05","M","0","M","NA"
"sample.ginkgo.13109727.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-07","M","NA"
"sample.ginkgo.13109728.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-06","M","NA"
"sample.ginkgo.13109730.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-05","M","NA"
"sample.ginkgo.13109731.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-05","M","0.00025","M","NA"
"sample.ginkgo.13109732.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.005","M","0","M","01"
"sample.ginkgo.13109733.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-07","M","11"
"sample.ginkgo.13109735.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-06","M","11"
"sample.ginkgo.13109736.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-05","M","11"
"sample.ginkgo.13109737.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.005","M","0.00025","M","11"
"sample.ginkgo.13109738.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.005","M","0","M","NA"
"sample.ginkgo.13109739.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-07","M","NA"
"sample.ginkgo.13109741.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-06","M","NA"
"sample.ginkgo.13109742.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-05","M","NA"
"sample.ginkgo.13109743.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.005","M","0.00025","M","NA"
"sample.ginkgo.13109744.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.025","M","0","M","01"
"sample.ginkgo.13109745.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-07","M","11"
"sample.ginkgo.13109746.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-06","M","11"
"sample.ginkgo.13109747.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-05","M","11"
"sample.ginkgo.13109748.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.025","M","0.00025","M","11"
"sample.ginkgo.13109750.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.025","M","0","M","NA"
"sample.ginkgo.13109751.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-07","M","NA"
"sample.ginkgo.13109752.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-06","M","NA"
"sample.ginkgo.13109753.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-05","M","NA"
"sample.ginkgo.13109754.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.025","M","0.00025","M","NA"
"sample.ginkgo.13109755.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-06","M","0","M","01"
"sample.ginkgo.13109757.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-07","M","11"
"sample.ginkgo.13109758.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-06","M","11"
"sample.ginkgo.13109759.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-05","M","11"
"sample.ginkgo.13109760.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","5e-06","M","0.00025","M","11"
"sample.ginkgo.13109761.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-06","M","0","M","NA"
"sample.ginkgo.13109762.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-07","M","NA"
"sample.ginkgo.13109763.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-06","M","NA"
"sample.ginkgo.13109765.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-05","M","NA"
"sample.ginkgo.13109766.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","5e-06","M","0.00025","M","NA"
"sample.ginkgo.13109767.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.0005","M","0","M","01"
"sample.ginkgo.13109768.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-07","M","11"
"sample.ginkgo.13107459.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","2","5e-05","M","2.5e-06","M","11"
"sample.ginkgo.13109770.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-05","M","11"
"sample.ginkgo.13109771.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_NAND_Circuit","37.0","3","0.0005","M","0.00025","M","11"
"sample.ginkgo.13109772.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.0005","M","0","M","NA"
"sample.ginkgo.13109774.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-07","M","NA"
"sample.ginkgo.13109775.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-06","M","NA"
"sample.ginkgo.13109776.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-05","M","NA"
"sample.ginkgo.13109777.experiment.ginkgo.19606.19637.19708.19709","6.5","MG1655_empty_landing_pads","37.0","3","0.0005","M","0.00025","M","NA"
"sample.ginkgo.13109778.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0","M","0","M","00"
"sample.ginkgo.13109779.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-07","M","10"
"sample.ginkgo.13109780.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-06","M","10"
"sample.ginkgo.13109782.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-05","M","10"
"sample.ginkgo.13109783.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0","M","0.00025","M","10"
"sample.ginkgo.13109784.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0","M","0","M","NA"
"sample.ginkgo.13109785.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-07","M","NA"
"sample.ginkgo.13109786.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-06","M","NA"
"sample.ginkgo.13109787.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-05","M","NA"
"sample.ginkgo.13109788.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0","M","0.00025","M","NA"
"sample.ginkgo.13109789.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","0","M","01"
"sample.ginkgo.13109791.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-07","M","11"
"sample.ginkgo.13109792.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-06","M","11"
"sample.ginkgo.13109793.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","2.5e-05","M","11"
"sample.ginkgo.13109794.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","0.00025","M","11"
"sample.ginkgo.13109795.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","0","M","NA"
"sample.ginkgo.13109797.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-07","M","NA"
"sample.ginkgo.13109798.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-06","M","NA"
"sample.ginkgo.13109799.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","2.5e-05","M","NA"
"sample.ginkgo.13109800.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-05","M","0.00025","M","NA"
"sample.ginkgo.13109801.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.005","M","0","M","01"
"sample.ginkgo.13109802.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-07","M","11"
"sample.ginkgo.13109803.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-06","M","11"
"sample.ginkgo.13109804.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.005","M","2.5e-05","M","11"
"sample.ginkgo.13109806.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.005","M","0.00025","M","11"
"sample.ginkgo.13109807.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.005","M","0","M","NA"
"sample.ginkgo.13109808.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-07","M","NA"
"sample.ginkgo.13109809.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-06","M","NA"
"sample.ginkgo.13109810.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.005","M","2.5e-05","M","NA"
"sample.ginkgo.13109812.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.005","M","0.00025","M","NA"
"sample.ginkgo.13109813.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.025","M","0","M","01"
"sample.ginkgo.13109814.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-07","M","11"
"sample.ginkgo.13109815.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-06","M","11"
"sample.ginkgo.13109816.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.025","M","2.5e-05","M","11"
"sample.ginkgo.13109818.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.025","M","0.00025","M","11"
"sample.ginkgo.13109819.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.025","M","0","M","NA"
"sample.ginkgo.13109820.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-07","M","NA"
"sample.ginkgo.13109821.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-06","M","NA"
"sample.ginkgo.13109822.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.025","M","2.5e-05","M","NA"
"sample.ginkgo.13109824.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.025","M","0.00025","M","NA"
"sample.ginkgo.13109825.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","0","M","01"
"sample.ginkgo.13109826.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-07","M","11"
"sample.ginkgo.13109827.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-06","M","11"
"sample.ginkgo.13109828.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","2.5e-05","M","11"
"sample.ginkgo.13109829.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","5e-06","M","0.00025","M","11"
"sample.ginkgo.13109831.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","0","M","NA"
"sample.ginkgo.13109832.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-07","M","NA"
"sample.ginkgo.13109833.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-06","M","NA"
"sample.ginkgo.13109834.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","2.5e-05","M","NA"
"sample.ginkgo.13109835.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","5e-06","M","0.00025","M","NA"
"sample.ginkgo.13109837.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","0","M","01"
"sample.ginkgo.13109838.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-07","M","11"
"sample.ginkgo.13109839.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-06","M","11"
"sample.ginkgo.13109840.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","2.5e-05","M","11"
"sample.ginkgo.13109841.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","3","0.0005","M","0.00025","M","11"
"sample.ginkgo.13109842.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","0","M","NA"
"sample.ginkgo.13109843.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-07","M","NA"
"sample.ginkgo.13109845.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-06","M","NA"
"sample.ginkgo.13109846.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_empty_landing_pads","37.0","3","0.0005","M","2.5e-05","M","NA"
"sample.ginkgo.13107641.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","2","5e-06","M","0.00025","M","11"
"sample.ginkgo.13109848.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","3","0","M","0","M","00"
"sample.ginkgo.13109849.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-07","M","10"
"sample.ginkgo.13109850.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-06","M","10"
"sample.ginkgo.13109851.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","3","0","M","2.5e-05","M","10"
"sample.ginkgo.13109852.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","3","0","M","0.00025","M","10"
"sample.ginkgo.13109854.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_empty_landing_pads","37.0","3","0","M","0","M","NA"
"sample.ginkgo.13109855.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-07","M","NA"
"sample.ginkgo.13109856.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-06","M","NA"
"sample.ginkgo.13109857.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_empty_landing_pads","37.0","3","0","M","2.5e-05","M","NA"
"sample.ginkgo.13109858.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_empty_landing_pads","37.0","3","0","M","0.00025","M","NA"
"sample.ginkgo.13109859.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","3","5e-05","M","0","M","01"
